VARIABLE,TYPE,LABEL,GROUP
DP04_0099PE,int,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage,DP04
DP04_0100E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!Less than $100,DP04
DP04_0100PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!Less than $100,DP04
DP04_0101E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$100 to $199,DP04
DP04_0101PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$100 to $199,DP04
DP04_0102E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$200 to $299,DP04
DP04_0102PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$200 to $299,DP04
DP04_0103E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$300 to $399,DP04
DP04_0103PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$300 to $399,DP04
DP04_0104E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$400 or more,DP04
DP04_0104PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!$400 or more,DP04
DP04_0105E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!Median (dollars),DP04
DP04_0105PE,int,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage!!Median (dollars),DP04
DP04_0106E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units,DP04
DP04_0106PE,int,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units,DP04
