B20005A_079M,B20005A_080E,B20005A_080M,B20005A_081E,B20005A_081M,B20005A_082E,B20005A_082M,B20005A_083E,B20005A_083M,B20005A_084E,B20005A_084M,B20005A_085E,B20005A_085M,B20005A_086E,B20005A_086M,B20005A_087E,B20005A_087M,B20005A_088E,B20005A_088M,B20005A_089E,B20005A_089M,B20005A_090E,B20005A_090M,B20005A_091E,B20005A_091M,B20005A_092E,B20005A_092M,B20005A_093E,B20005A_093M,B20005A_094E,B20005A_094M,B20005A_095E,B20005A_095M,GEO_ID,B20005A_001E,B20005A_001M,B20005A_002E,B20005A_002M,B20005A_003E,B20005A_003M,B20005A_004E,B20005A_004M,B20005A_005E,B20005A_005M,B20005A_006E,B20005A_006M,B20005A_007E,B20005A_007M,B20005A_008E,B20005A_008M,B20005A_009E,B20005A_009M,B20005A_010E,B20005A_010M,B20005A_011E,B20005A_011M,B20005A_012E,B20005A_012M,B20005A_013E,B20005A_013M,B20005A_014E,B20005A_014M,B20005A_015E,B20005A_015M,B20005A_016E,B20005A_016M,B20005A_017E,B20005A_017M,B20005A_018E,B20005A_018M,B20005A_019E,B20005A_019M,B20005A_020E,B20005A_020M,B20005A_021E,B20005A_021M,B20005A_022E,B20005A_022M,B20005A_023E,B20005A_023M,B20005A_024E,B20005A_024M,B20005A_025E,B20005A_025M,B20005A_026E,B20005A_026M,B20005A_027E,B20005A_027M,B20005A_028E,B20005A_028M,B20005A_029E,B20005A_029M,B20005A_030E,B20005A_030M,B20005A_031E,B20005A_031M,B20005A_032E,B20005A_032M,B20005A_033E,B20005A_033M,B20005A_034E,B20005A_034M,B20005A_035E,B20005A_035M,B20005A_036E,B20005A_036M,B20005A_037E,B20005A_037M,B20005A_038E,B20005A_038M,B20005A_039E,B20005A_039M,B20005A_040E,B20005A_040M,B20005A_041E,B20005A_041M,B20005A_042E,B20005A_042M,B20005A_043E,B20005A_043M,B20005A_044E,B20005A_044M,B20005A_045E,B20005A_045M,B20005A_046E,B20005A_046M,B20005A_047E,B20005A_047M,B20005A_048E,B20005A_048M,B20005A_049E,B20005A_049M,B20005A_050E,B20005A_050M,B20005A_051E,B20005A_051M,B20005A_052E,B20005A_052M,B20005A_053E,B20005A_053M,B20005A_054E,B20005A_054M,B20005A_055E,B20005A_055M,B20005A_056E,B20005A_056M,B20005A_057E,B20005A_057M,B20005A_058E,B20005A_058M,B20005A_059E,B20005A_059M,B20005A_060E,B20005A_060M,B20005A_061E,B20005A_061M,B20005A_062E,B20005A_062M,B20005A_063E,B20005A_063M,B20005A_064E,B20005A_064M,B20005A_065E,B20005A_065M,B20005A_066E,B20005A_066M,B20005A_067E,B20005A_067M,B20005A_068E,B20005A_068M,B20005A_069E,B20005A_069M,B20005A_070E,B20005A_070M,B20005A_071E,B20005A_071M,B20005A_072E,B20005A_072M,B20005A_073E,B20005A_073M,B20005A_074E,B20005A_074M,B20005A_075E,B20005A_075M,B20005A_076E,B20005A_076M,B20005A_077E,B20005A_077M,B20005A_078E,B20005A_078M,B20005A_079E,B20005A_079MA,B20005A_080MA,B20005A_080EA,B20005A_081MA,B20005A_081EA,B20005A_082EA,B20005A_082MA,B20005A_083MA,B20005A_083EA,B20005A_084EA,B20005A_084MA,B20005A_085MA,B20005A_085EA,B20005A_086EA,B20005A_086MA,B20005A_087EA,B20005A_087MA,B20005A_088EA,B20005A_088MA,B20005A_089EA,B20005A_089MA,B20005A_090MA,B20005A_090EA,B20005A_091EA,B20005A_091MA,B20005A_092EA,B20005A_092MA,B20005A_093EA,B20005A_093MA,B20005A_094EA,B20005A_094MA,B20005A_095EA,B20005A_095MA,NAME,B20005A_001MA,B20005A_001EA,B20005A_002MA,B20005A_002EA,B20005A_003MA,B20005A_003EA,B20005A_004MA,B20005A_004EA,B20005A_005EA,B20005A_005MA,B20005A_006MA,B20005A_006EA,B20005A_007MA,B20005A_007EA,B20005A_008MA,B20005A_008EA,B20005A_009MA,B20005A_009EA,B20005A_010EA,B20005A_010MA,B20005A_011MA,B20005A_011EA,B20005A_012MA,B20005A_012EA,B20005A_013MA,B20005A_013EA,B20005A_014MA,B20005A_014EA,B20005A_015EA,B20005A_015MA,B20005A_016MA,B20005A_016EA,B20005A_017MA,B20005A_017EA,B20005A_018MA,B20005A_018EA,B20005A_019MA,B20005A_019EA,B20005A_020EA,B20005A_020MA,B20005A_021EA,B20005A_021MA,B20005A_022MA,B20005A_022EA,B20005A_023MA,B20005A_023EA,B20005A_024MA,B20005A_024EA,B20005A_025EA,B20005A_025MA,B20005A_026EA,B20005A_026MA,B20005A_027EA,B20005A_027MA,B20005A_028EA,B20005A_028MA,B20005A_029EA,B20005A_029MA,B20005A_030MA,B20005A_030EA,B20005A_031EA,B20005A_031MA,B20005A_032EA,B20005A_032MA,B20005A_033EA,B20005A_033MA,B20005A_034EA,B20005A_034MA,B20005A_035MA,B20005A_035EA,B20005A_036EA,B20005A_036MA,B20005A_037EA,B20005A_037MA,B20005A_038EA,B20005A_038MA,B20005A_039EA,B20005A_039MA,B20005A_040EA,B20005A_040MA,B20005A_041EA,B20005A_041MA,B20005A_042EA,B20005A_042MA,B20005A_043EA,B20005A_043MA,B20005A_044EA,B20005A_044MA,B20005A_045MA,B20005A_045EA,B20005A_046MA,B20005A_046EA,B20005A_047EA,B20005A_047MA,B20005A_048EA,B20005A_048MA,B20005A_049EA,B20005A_049MA,B20005A_050MA,B20005A_050EA,B20005A_051MA,B20005A_051EA,B20005A_052EA,B20005A_052MA,B20005A_053EA,B20005A_053MA,B20005A_054EA,B20005A_054MA,B20005A_055EA,B20005A_055MA,B20005A_056MA,B20005A_056EA,B20005A_057MA,B20005A_057EA,B20005A_058EA,B20005A_058MA,B20005A_059EA,B20005A_059MA,B20005A_060EA,B20005A_060MA,B20005A_061MA,B20005A_061EA,B20005A_062MA,B20005A_062EA,B20005A_063EA,B20005A_063MA,B20005A_064EA,B20005A_064MA,B20005A_065MA,B20005A_065EA,B20005A_066MA,B20005A_066EA,B20005A_067MA,B20005A_067EA,B20005A_068MA,B20005A_068EA,B20005A_069EA,B20005A_069MA,B20005A_070MA,B20005A_070EA,B20005A_071MA,B20005A_071EA,B20005A_072MA,B20005A_072EA,B20005A_073MA,B20005A_073EA,B20005A_074EA,B20005A_074MA,B20005A_075EA,B20005A_075MA,B20005A_076MA,B20005A_076EA,B20005A_077EA,B20005A_077MA,B20005A_078MA,B20005A_078EA,B20005A_079EA,state
3353,60927,3851,32153,2626,40942,3182,24351,2314,39367,3001,21194,2607,34497,2955,32767,3018,18512,2032,20359,2035,12476,1519,14717,2053,20812,2050,15300,1944,15053,1666,10931,1512,0400000US25,4397145,9948,2102480,6074,1031267,10415,47,76,1031220,10431,1908,597,954,443,4418,934,2662,787,7690,1360,3921,1104,14361,2270,9340,1749,24057,2394,16583,2229,46316,3870,52872,3534,51698,3264,72007,4407,52706,3543,75196,4673,99726,4955,79208,5079,156323,6111,259274,6674,1071213,10438,541831,8128,529382,9901,88188,4028,64242,4201,50611,3870,33819,3127,45793,3265,20518,2156,28211,2975,14804,2335,24615,2449,10916,1939,20095,2381,26435,3090,11862,2137,14574,2006,9705,1577,11852,1996,12673,1978,10373,1441,10808,1591,19288,2378,2294665,5354,781135,9516,80,117,781055,9527,2067,761,1331,454,4564,1213,3290,1077,10581,1848,7273,1279,13940,2146,14734,2089,26253,2616,21863,3101,51421,3947,67309,4422,58866,4301,71068,3918,53136,3959,60498,3898,84974,5109,61710,3183,79513,3765,86664,4401,1513530,9710,791666,9948,721864,9452,119486,4741,75167,3998,69257,4227,43596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
4483,111268,5551,53744,3753,59103,3330,32592,2623,41991,2619,19983,1811,39243,2606,28267,2242,17579,2083,16898,1779,11024,1544,11478,1359,12787,1564,9746,1464,8991,1366,4826,749,0400000US26,6358443,7448,3106598,4848,1312275,12251,194,176,1312081,12244,4583,984,2300,653,9959,1459,9826,1480,26225,2812,14476,1600,29449,2358,25330,2337,48019,2848,39854,3127,77784,4140,98144,4377,81003,3936,97484,3540,70785,4031,93665,4608,137587,5319,106238,4720,156953,5648,182417,5738,1794323,13011,1011897,9487,782426,10535,144201,6282,93750,4287,88093,4148,62715,3746,74497,4124,35266,2499,40511,2859,22497,2310,32853,3058,16648,1900,32374,2354,30093,2571,18053,1768,18067,1989,11932,1354,13361,1967,15031,1543,8931,1421,10754,1393,12799,1697,3251845,4526,942406,9448,506,386,941900,9450,1928,627,2734,715,9014,1375,10578,1353,24879,2045,21830,2142,36109,2762,28655,2200,58271,3172,43285,2771,84950,3321,99891,4360,77137,4028,76642,3058,53853,3434,62048,2818,81250,3597,56531,3116,64792,3362,47523,3184,2309439,10721,1335328,11346,974111,11277,173216,4614,122682,5149,116408,4442,82285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
2903,57642,2935,27375,2143,37666,2604,21748,2247,31758,2312,15149,1536,27861,2364,21177,2006,17892,1932,14546,1670,10926,1198,10381,1363,13596,1694,9018,1230,8164,1099,5097,815,0400000US27,3698063,5481,1816613,3413,922771,8114,100,62,922671,8117,3183,557,1219,281,6027,1047,3206,675,14760,1936,8692,1334,16450,1991,11931,1478,26780,1901,21831,2171,49621,2750,68742,3476,64463,3549,76151,3792,59913,3420,73652,3208,97093,3780,74399,3487,106398,4013,138160,5028,893842,8736,412361,5935,481481,7829,86933,3831,60726,3026,50751,3062,28506,2269,40727,2883,17169,1671,22897,2275,14591,1607,22282,2297,10200,1436,19832,1676,20157,1896,13610,1697,14601,1524,7930,1419,10012,1372,11287,1381,7951,1300,10391,1163,10928,1192,1881450,3113,691407,7535,45,36,691362,7540,1472,333,1797,584,5909,869,4506,795,16905,1652,8269,1098,19003,1833,17190,1716,30994,2322,24435,1968,58596,2603,75185,3095,64629,3177,65235,2898,46311,2945,48160,3268,59481,3294,41795,2612,53244,2774,48246,3046,1190043,7963,575588,6278,614455,8520,98140,3906,73789,3314,69153,3843,43377,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
2094,15202,1956,7566,1365,8959,1520,3407,945,5888,1299,2710,901,4212,1126,4306,945,3350,810,2634,719,1468,683,2205,788,2342,746,1089,529,883,477,882,446,0400000US28,1427443,4230,697250,2895,328775,7256,6,12,328769,7256,536,310,815,512,1532,627,1441,641,5455,1335,3221,1110,7412,1456,7418,1608,15363,1946,11623,1859,24545,2708,31774,2551,24684,2407,27804,2902,20717,2831,24553,2347,29977,2738,22315,2510,32752,2728,34832,3037,368475,7224,222117,6030,146358,5357,26827,2707,19893,2620,15822,2379,10990,1879,11611,1802,7249,1677,5229,1527,4827,1358,7995,1677,2971,1057,6409,1496,5449,1337,2716,1017,3145,939,2451,836,2986,1111,2371,780,1822,823,2580,767,3015,954,730193,2474,230825,6440,0,206,230825,6440,625,512,203,245,1689,689,2265,962,8741,1930,8982,1454,11172,2101,8740,1610,15739,2450,14372,2408,25566,2735,25437,2899,24159,2791,18467,2795,11793,1711,12726,2136,13778,2442,7401,1591,11474,2146,7496,1357,499368,6472,344245,7274,155123,6198,30319,3412,21788,2821,21100,2313,14813,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3339,59965,3598,28196,2473,31801,2708,16087,1788,22215,2106,12379,2105,19270,2358,17229,1744,10122,1689,6811,1066,7145,1362,5456,1355,5692,988,3623,1071,2557,618,2500,676,0400000US29,4017215,6096,1953438,4488,922725,9247,190,176,922535,9254,2244,589,1831,559,7244,1385,6281,1309,19277,2237,13992,1967,24491,2519,22006,2461,37707,3157,27922,2400,71353,4469,79053,4315,73164,4264,77195,3907,52738,3711,65567,3772,79087,4347,58490,3543,90959,4295,111934,4823,1030713,9325,563745,8087,466968,8144,83831,4933,58384,4038,48580,3636,32009,2319,46671,3348,17911,2207,22918,2393,14617,2225,22024,2234,11222,2016,20513,2328,18233,2013,12346,1727,12386,1779,7713,1506,8601,1666,9307,1539,5083,1146,6830,1312,7789,1538,2063777,3589,722155,9738,62,103,722093,9739,1303,493,2164,707,7907,1392,11085,1832,19601,2050,19229,2063,36331,4049,27918,2798,50567,3571,36139,3190,78975,4760,75773,4447,66806,4237,59579,4400,43708,2843,39263,3401,50232,3436,32962,3229,34978,2742,27573,2008,1341622,10328,791068,9356,550554,9547,105401,4822,71734,4009,70935,4208,51436,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1676,12654,1572,6100,1310,9539,1797,5306,1001,6086,1031,2860,763,4614,971,3988,1058,2475,701,2220,929,1044,442,1296,486,1015,527,540,230,536,380,836,475,0400000US30,728201,1802,363658,1427,167613,4549,35,58,167578,4537,1064,428,362,227,2445,893,1216,351,5359,1105,2580,838,5408,1156,4048,986,6798,1104,7272,1369,14118,2009,12393,1659,12846,1709,12210,1398,11280,1603,12827,1515,16047,1949,12485,1898,13335,1516,13485,1811,196045,4861,95746,3839,100299,4665,17471,1918,11527,1770,11555,1660,8134,1595,8836,1415,5280,1413,6179,1460,2699,1081,4878,1221,2108,588,3004,770,4423,982,3421,780,2277,765,1723,569,1244,584,1153,423,1355,531,1183,544,1849,571,364543,1456,118537,4231,65,82,118472,4240,563,256,465,282,2091,830,1792,782,5034,867,3632,1027,5265,870,5128,1272,7491,1359,8507,1825,14839,1853,13582,1638,9781,1495,9841,1808,6153,1093,6262,1227,6759,1230,3991,1057,4133,990,3163,888,246006,4275,123087,3306,122919,4627,22991,2016,14453,1652,14334,1933,10032,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1828,22417,1926,10851,1388,11956,1694,5038,1064,8517,1261,4102,747,7174,1167,5578,1105,2872,602,2969,688,2419,620,1785,492,1809,484,1124,439,1143,433,503,242,0400000US31,1286483,3868,630921,2560,357855,5697,202,135,357653,5687,2058,709,787,451,2295,488,1747,519,8025,1266,4035,854,7055,1280,6100,1141,14191,1799,11655,1430,29212,2813,34215,2843,31991,2150,31085,2257,21674,1995,24404,1800,35723,2349,21034,1954,32116,2591,38251,2491,273066,5849,125314,4073,147752,5362,27889,2329,21017,1957,17423,1826,10438,1613,14961,1654,5627,1028,8351,1239,5113,944,5240,981,3145,993,4951,969,5665,1126,2726,570,3553,774,2122,598,1782,468,2287,627,1512,671,1774,654,2176,670,655562,2404,254832,5405,81,99,254751,5415,1056,527,482,197,2992,680,3164,748,8486,1214,6009,1046,10920,1371,9249,1346,16807,2095,14454,1655,29039,2345,29419,2228,24472,2205,22491,1983,14856,1790,15188,1755,16536,1669,9221,1208,11301,1619,8609,1302,400730,6132,199297,5135,201433,5395,41391,2314,28094,2275,25319,2145,16372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
2568,21782,3191,8631,1904,13735,2666,6572,1453,11353,2157,4267,1120,8311,2024,7499,1774,4865,1769,5876,1689,3073,1322,3088,1112,3209,811,1264,676,925,402,1280,471,0400000US32,1560572,11057,794048,6889,356713,9511,0,234,356713,9511,1346,882,332,411,2045,849,2132,854,7787,2623,6720,2021,11691,2729,8571,2142,18711,3208,13749,2924,26932,3773,31528,3561,20748,3350,23230,3728,20589,3692,24665,3221,29259,3058,22621,2968,39101,4280,44956,4362,437335,8843,242505,8088,194830,7636,26248,3298,19059,2917,18442,2908,15364,3187,18661,3196,8812,1619,9805,1786,6120,1545,9785,1979,5501,1341,9870,2524,9571,2230,6692,1753,6821,2124,2940,1068,3776,1098,4497,1282,2366,968,4711,1453,5789,1549,766524,6292,261860,8944,0,234,261860,8944,115,156,1013,609,1219,581,1406,801,6088,1736,5255,1375,9806,1935,9927,2023,17665,3433,9957,1728,26626,3121,31568,3973,23210,3372,21794,2801,15246,2039,14025,2190,22650,2674,13431,2226,15816,2448,15043,2976,504664,10146,314763,8588,189901,7765,27459,3402,20783,2794,20343,2765,15586,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
1532,15312,1936,8340,1394,9878,1532,6479,1202,9257,1237,4366,1020,6426,969,5848,1293,4337,1003,4148,935,2703,809,2292,591,3839,932,2393,741,2129,670,1544,488,0400000US33,1021005,2078,499574,1613,256535,5425,46,74,256489,5422,450,234,499,343,965,417,526,277,3595,858,854,392,3664,905,3269,929,6336,1217,6142,1626,14485,1949,19404,2288,17628,1985,21257,2413,16358,2044,16888,1730,26298,2511,19035,1899,31362,2501,47474,3029,243039,5220,124410,3929,118629,4817,23300,2076,13244,1839,12805,1846,9144,1388,9213,1449,4177,951,6258,1215,3507,1022,5129,1162,3150,965,5036,1182,5744,1238,2480,702,2735,849,2087,626,2653,728,1906,497,1170,463,2484,803,2407,641,521431,1157,188086,5145,70,120,188016,5137,503,261,1131,581,807,344,364,209,3377,924,1920,628,4978,1078,5341,1000,8664,1504,7528,1413,17297,2246,23926,2534,14310,1738,14879,1883,12829,1661,12701,1778,16992,2133,13256,1804,14559,1895,12654,1767,333345,5269,171718,4465,161627,4596,26799,2230,18317,1892,17029,1755,10191,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3671,67014,4009,31785,3000,36592,3237,19967,2256,32285,2348,17125,1633,35624,3153,29757,2511,18647,1851,15048,1294,15065,1812,17548,2123,19306,1883,15155,1818,20798,1673,11585,1313,0400000US34,4961070,15862,2390091,9268,1207796,11801,225,218,1207571,11786,2596,936,1473,573,4219,1049,3976,972,14219,1818,9194,1484,23258,2732,16813,2889,31133,3200,16854,2058,51128,3827,58084,4372,54254,4401,67737,4160,52733,3641,85158,4966,112336,6141,89598,5096,173214,6726,339594,7806,1182295,12359,669958,9367,512337,11353,76987,4266,50736,4140,49933,3676,30354,2585,44094,3404,19607,2503,24290,2330,17674,2377,22052,2377,12514,1956,24264,2667,21819,2427,13639,1761,11536,1629,9496,1628,13628,1668,18477,2131,12210,1304,18522,2066,20505,1918,2570979,9476,848360,12415,0,198,848360,12415,599,354,976,476,5027,1005,5144,1046,13416,2177,11896,1537,22685,2626,15541,2139,31175,3066,23979,2665,54857,3752,64775,4596,57257,4004,65561,3915,47296,3579,65143,3946,92096,4803,66828,4017,102473,4472,101636,5440,1722619,14826,1034492,11209,688127,12979,96312,3449,70098,3730,70374,3541,48042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
1936,16740,2127,6367,1223,8200,1568,4687,1228,6790,1695,3201,847,5535,1321,4150,1286,3724,963,2868,965,2069,651,2367,746,2088,606,1767,789,1018,542,993,437,0400000US35,1190394,10073,582230,5470,256601,6666,179,282,256422,6660,1042,363,189,163,2357,834,2511,888,6331,1511,3393,998,9556,1744,7565,1502,12716,2115,9076,1823,20395,2621,18192,2267,17704,2871,16830,2536,13523,2210,16253,2317,20558,2688,15377,1957,26340,2569,36514,2901,325629,7074,189000,5088,136629,6449,24698,3172,14732,2203,16071,2131,10819,1962,14614,2346,6650,1245,7890,1578,5398,1309,4139,1018,2387,733,6242,1642,5294,1296,2281,993,3496,1000,1314,498,1924,780,1929,829,2039,790,1449,503,3263,980,608164,6200,194635,6152,27,42,194608,6150,939,501,365,214,2215,955,2510,911,8585,1388,7855,2096,10634,1780,7652,1630,9695,1685,8062,1668,18721,2238,18183,2413,14328,1952,15345,1706,12543,1918,11788,1807,15047,2033,8879,1913,12327,2168,8935,1576,413529,7766,255879,5978,157650,6798,33225,2990,21205,2331,17587,2093,13069,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
