GEO_ID,C17015_001E,C17015_001M,C17015_002E,C17015_002M,C17015_003E,C17015_003M,C17015_004E,C17015_004M,C17015_005E,C17015_005M,C17015_006E,C17015_006M,C17015_007E,C17015_007M,C17015_008E,C17015_008M,C17015_009E,C17015_009M,C17015_010E,C17015_010M,C17015_011E,C17015_011M,C17015_012E,C17015_012M,C17015_013E,C17015_013M,C17015_014E,C17015_014M,C17015_015E,C17015_015M,NAME,C17015_001EA,C17015_001MA,C17015_002EA,C17015_002MA,C17015_003EA,C17015_003MA,C17015_004MA,C17015_004EA,C17015_005MA,C17015_005EA,C17015_006EA,C17015_006MA,C17015_007EA,C17015_007MA,C17015_008EA,C17015_008MA,C17015_009MA,C17015_009EA,C17015_010MA,C17015_010EA,C17015_011MA,C17015_011EA,C17015_012EA,C17015_012MA,C17015_013EA,C17015_013MA,C17015_014EA,C17015_014MA,C17015_015MA,C17015_015EA,state
0400000US40,957855,8144,122171,4473,19962,1954,4746,824,15216,1763,102209,4244,17972,1650,84237,3916,835684,8781,237094,4579,19324,1541,217770,4407,598590,8270,27146,1998,571444,8163,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,956746,11057,114203,5079,12817,2078,3088,935,9729,1740,101386,5308,20540,2481,80846,4927,842543,10679,253258,5090,17942,1791,235316,4992,589285,9536,26181,2262,563104,9257,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3193701,19403,306856,8627,57509,3149,18126,2084,39383,2574,249347,7904,71725,4317,177622,6471,2886845,19281,879367,8890,70975,3468,808392,8133,2007478,16730,103300,4748,1904178,16198,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,256181,5460,27047,2598,3884,849,988,417,2896,748,23163,2494,6432,1310,16731,2226,229134,5017,63022,2601,4920,923,58102,2631,166112,4654,9255,1523,156857,4656,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1201688,14648,171751,6065,34100,2772,7109,1499,26991,2458,137651,5844,19767,2408,117884,5484,1029937,13352,337019,8173,22767,1997,314252,7631,692918,11176,24616,3020,668302,10937,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,210679,4391,20158,2313,3354,809,747,358,2607,750,16804,2062,3299,801,13505,1762,190521,4624,49413,2179,3225,765,46188,1991,141108,4018,3944,937,137164,4180,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1625686,15329,223369,7357,41124,3749,9179,1485,31945,3527,182245,7453,46377,3913,135868,7007,1402317,16014,434190,7535,37104,2691,397086,7504,968127,14261,45148,3913,922979,13749,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6171317,25795,886201,15796,131253,5379,32019,2726,99234,4942,754948,15243,92853,5616,662095,14727,5285116,28584,1254225,12418,111318,5230,1142907,11918,4030891,25697,154321,6412,3876570,26787,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,662478,8210,69117,4249,5578,1093,860,484,4718,963,63539,4110,7137,1256,56402,4173,593361,8210,127401,3233,10037,1326,117364,3269,465960,8122,17422,1905,448538,7783,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,161619,3467,11127,1393,1598,522,688,346,910,368,9529,1350,2753,710,6776,1203,150492,3125,43019,1681,3487,697,39532,1535,107473,2780,5730,980,101743,2929,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2010914,15488,165280,7219,27688,2623,7461,1309,20227,2401,137592,6546,29659,2833,107933,6108,1845634,14844,481763,7731,35142,2966,446621,7529,1363871,12415,46006,3214,1317865,12384,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1699851,11753,160632,5606,24366,2633,7468,1301,16898,2105,136266,5318,37491,2882,98775,4859,1539219,10641,387556,6865,32165,2625,355391,6954,1151663,10264,59736,3784,1091927,11137,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,477809,7963,65327,3718,15860,1926,4555,922,11305,1480,49467,3027,10896,1594,38571,2924,412482,7638,154343,4478,11948,1386,142395,4226,258139,5842,15346,1749,242793,5857,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1462927,12624,129303,4787,18504,1626,4414,756,14090,1520,110799,4706,21540,2481,89259,4113,1333624,12843,358425,5758,22456,1934,335969,5626,975199,11585,36918,2741,938281,11113,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,142618,4167,11312,1711,1522,672,555,484,967,448,9790,1411,608,324,9182,1373,131306,4137,33299,1828,1790,636,31509,1741,98007,3812,1862,625,96145,3760,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,903660,10060,376960,8027,126763,4736,15468,1855,111295,4471,250197,7550,23100,2259,227097,7510,526700,9644,235114,5548,10694,1264,224420,5517,291586,7590,4152,960,287434,7539,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
