GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001MA,C14005_001EA,C14005_002EA,C14005_002MA,C14005_003EA,C14005_003MA,C14005_004EA,C14005_004MA,C14005_005MA,C14005_005EA,C14005_006MA,C14005_006EA,C14005_007MA,C14005_007EA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,C14005_010MA,C14005_011MA,C14005_011EA,C14005_012MA,C14005_012EA,C14005_013EA,C14005_013MA,C14005_014EA,C14005_014MA,C14005_015EA,C14005_015MA,C14005_016MA,C14005_016EA,C14005_017MA,C14005_017EA,C14005_018MA,C14005_018EA,C14005_019EA,C14005_019MA,state
0400000US40,214070,4033,110708,3601,88208,3422,22500,1962,14458,1698,11528,1528,2930,760,8042,1230,3868,913,4174,923,103362,3034,88914,2976,14448,1597,9329,1344,6033,1163,3296,891,5119,994,2668,667,2451,595,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,201199,4983,105332,3379,87191,3394,18141,2037,12399,1870,9339,1656,3060,1010,5742,1122,3142,993,2600,844,95867,3412,81783,3471,14084,1723,10294,1467,8053,1388,2241,752,3790,1088,1740,809,2050,726,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,730158,7093,371590,5108,318595,5369,52995,3124,35017,2599,25897,2237,9120,1620,17978,1864,9967,1376,8011,1363,358568,4542,316871,4475,41697,3079,30130,2956,22434,2518,7696,1611,11567,1715,5287,1000,6280,1360,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,64101,2128,31564,1484,27959,1498,3605,966,1958,721,1214,577,744,365,1647,760,953,575,694,534,32537,1358,28326,1486,4211,1150,2959,942,2371,875,588,478,1252,652,578,420,674,493,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,265706,5990,139327,4098,110422,3706,28905,3192,18018,2635,12101,1884,5917,1635,10887,1968,5807,1573,5080,1381,126379,4296,106916,4039,19463,2691,12466,2271,8544,1889,3922,1105,6997,1575,3151,1176,3846,1110,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,48081,2060,22777,1633,20237,1598,2540,668,1324,527,1186,485,138,138,1216,517,806,420,410,286,25304,1751,21580,1599,3724,905,2505,915,2166,845,339,230,1219,518,871,471,348,257,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,345915,6611,177981,4936,144761,4426,33220,3369,26204,2695,18490,2102,7714,1790,7016,1493,3474,994,3542,1046,167934,4547,143586,4432,24348,3271,18796,2453,13748,2277,5048,1372,5552,1687,2480,1114,3072,1111,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1507388,12620,791613,9162,647492,9953,144121,6338,91547,5854,67656,5078,23891,3026,52574,4243,28805,3568,23769,3115,715775,8673,609118,10117,106657,5635,71005,4902,43982,3863,27023,2815,35652,3386,12749,2327,22903,2750,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,177098,3545,87943,2658,69264,3017,18679,2004,15476,1935,12278,1764,3198,963,3203,836,1973,679,1230,460,89155,2476,74973,2732,14182,1908,11204,1807,8874,1526,2330,855,2978,974,1261,595,1717,797,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,36557,1370,18820,985,16423,1024,2397,569,1761,509,1591,442,170,148,636,294,531,287,105,85,17737,905,15262,890,2475,564,2082,527,1499,540,583,386,393,215,183,161,210,155,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,447064,8028,227923,6047,190389,5523,37534,3511,27186,2941,21055,2543,6131,1445,10348,2205,5295,1523,5053,1322,219141,6230,191804,6099,27337,2707,21481,2398,16399,2337,5082,1242,5856,992,1369,604,4487,869,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,367781,5582,187043,3532,153609,4161,33434,2898,22962,1998,16743,1882,6219,1300,10472,1854,5295,1242,5177,1651,180738,4537,154415,4553,26323,2628,19549,2325,14587,1999,4962,1425,6774,1505,1875,745,4899,1283,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,96986,2902,49608,2003,39927,2019,9681,1668,6546,1318,4766,1034,1780,775,3135,925,1388,647,1747,652,47378,2535,37959,2233,9419,1582,6466,1259,3904,1025,2562,793,2953,966,1433,837,1520,547,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,324962,4540,166202,2902,141289,3192,24913,2503,17020,1991,13973,1950,3047,830,7893,1344,3411,935,4482,1023,158760,3056,140306,3267,18454,1970,12988,1607,10179,1423,2809,859,5466,1031,2648,824,2818,723,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,30231,1905,15344,1470,12595,1412,2749,882,2269,839,1983,830,286,163,480,233,314,190,166,116,14887,1264,13144,1371,1743,644,1548,584,1433,547,115,157,195,205,44,53,151,197,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,230797,4345,114873,3363,91147,3297,23726,2592,13681,1996,5882,1492,7799,1372,10045,1559,1992,717,8053,1357,115924,3591,98414,3882,17510,2023,11823,1910,3401,1018,8422,1592,5687,1198,657,315,5030,1167,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
