B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033EA,B25074_033MA,B25074_034MA,B25074_034EA,B25074_035EA,B25074_035MA,B25074_036EA,B25074_036MA,B25074_037MA,B25074_037EA,B25074_038EA,B25074_038MA,B25074_039EA,B25074_039MA,B25074_040MA,B25074_040EA,B25074_041EA,B25074_041MA,B25074_042MA,B25074_042EA,B25074_043MA,B25074_043EA,B25074_044EA,B25074_044MA,B25074_045EA,B25074_045MA,B25074_046EA,B25074_046MA,B25074_047EA,B25074_047MA,B25074_048MA,B25074_048EA,B25074_049MA,B25074_049EA,B25074_050MA,B25074_050EA,NAME,B25074_001MA,B25074_001EA,B25074_002EA,B25074_002MA,B25074_003EA,B25074_003MA,B25074_004MA,B25074_004EA,B25074_005MA,B25074_005EA,B25074_006EA,B25074_006MA,B25074_007MA,B25074_007EA,B25074_008MA,B25074_008EA,B25074_009EA,B25074_009MA,B25074_010MA,B25074_010EA,B25074_011MA,B25074_011EA,B25074_012MA,B25074_012EA,B25074_013EA,B25074_013MA,B25074_014EA,B25074_014MA,B25074_015MA,B25074_015EA,B25074_016MA,B25074_016EA,B25074_017EA,B25074_017MA,B25074_018MA,B25074_018EA,B25074_019EA,B25074_019MA,B25074_020EA,B25074_020MA,B25074_021MA,B25074_021EA,B25074_022EA,B25074_022MA,B25074_023EA,B25074_023MA,B25074_024MA,B25074_024EA,B25074_025EA,B25074_025MA,B25074_026MA,B25074_026EA,B25074_027MA,B25074_027EA,B25074_028EA,B25074_028MA,B25074_029MA,B25074_029EA,B25074_030EA,B25074_030MA,B25074_031EA,B25074_031MA,B25074_032MA,B25074_032EA,state
13365,1798,6499,1371,6771,1160,8223,1334,64307,3543,50637,3251,7341,1428,1573,619,932,437,718,413,3106,805,61571,3710,51462,3484,4126,1026,956,416,491,302,641,378,3895,917,0400000US26,1128509,11560,206033,6356,1738,706,2658,869,8687,1332,8465,1593,139190,5180,45295,3199,227370,6681,6849,1215,8583,1592,15590,2096,13539,1778,171277,5999,11532,1544,248957,7276,15550,1987,24858,2396,39608,2664,42401,3249,114030,4711,12510,1420,166394,6355,42439,3344,43294,3769,33253,2874,17357,2206,21244,2134,8807,1286,153877,5517,85041,4867,33978,2805,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
13494,1771,6474,1315,4720,1117,4698,1020,48080,3458,33586,3072,9323,1674,1882,549,302,229,1032,501,1955,515,45406,3269,37654,2678,3889,1311,1031,534,260,222,254,193,2318,630,0400000US27,603054,9033,82283,3970,2257,819,820,379,4727,1051,4754,956,57428,3374,12297,1557,106179,5022,4438,906,4981,1109,9339,1468,8379,1422,74183,4739,4859,830,130052,5698,8961,1248,10977,1568,18583,1916,20524,2276,65256,4721,5751,909,90544,4187,18421,1709,23827,2468,17557,1919,11035,1644,15780,1985,3924,694,100510,5696,49423,3859,21701,1846,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
2380,993,928,406,226,242,4738,1033,17200,2106,14013,2010,1746,735,44,83,115,142,89,109,1193,614,14532,2102,12203,1702,409,354,115,187,33,55,0,208,1772,910,0400000US28,357901,8808,78334,5462,617,423,1107,654,3284,722,3433,1047,48643,4052,21250,2342,79788,4694,4273,1155,3089,1037,5581,1282,5492,1215,49718,4122,11635,1902,74126,4882,6020,1130,8377,1710,11811,1780,11737,1951,29595,3126,6586,1378,49055,4012,16323,2167,10855,1847,10255,1868,3066,939,2779,986,5777,1292,44866,3649,28109,2916,8485,1595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
11793,1956,4046,1135,3346,810,6860,1319,45221,3889,36960,3358,3794,1051,2005,906,282,172,122,152,2058,700,37321,3057,32844,2721,1531,579,122,141,90,148,0,184,2734,864,0400000US29,780441,10077,127266,5187,306,206,531,284,5902,1192,5126,1148,89045,4567,26356,2668,150551,6299,5396,1026,5058,1099,9163,1508,11785,1640,108902,5630,10247,1617,181855,7142,14661,1744,23813,2465,29050,2731,29236,3261,73297,4744,11798,1624,122380,5412,32828,2554,34173,3145,24838,2724,11085,1561,12134,1937,7322,1239,115847,5388,67850,4159,21952,2323,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1972,755,558,468,464,357,1221,346,6774,1227,4739,1157,1091,564,138,143,134,188,0,165,672,300,7074,1350,5341,1098,542,423,68,125,273,383,175,283,675,236,0400000US30,134569,4196,20475,2441,524,372,219,242,917,406,366,203,13753,1959,4696,1126,27381,2690,1275,531,1023,431,1807,635,2241,801,19354,2449,1681,513,33864,2915,4446,989,4554,1009,6631,1422,4614,993,11189,1927,2430,693,19828,1723,7020,1301,3890,836,3136,872,2412,858,1599,509,1771,554,19173,1924,10982,1542,3976,1149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
2529,696,772,410,1086,443,2765,696,13714,1905,10806,1883,1171,416,292,237,22,38,144,139,1279,502,11774,1627,9552,1468,452,347,259,261,246,234,0,157,1265,476,0400000US31,248127,5506,30858,2859,619,315,134,106,1255,566,1058,545,22647,2464,5145,1230,44194,2510,1244,395,1632,461,2937,620,3964,1007,32473,2184,1944,426,61600,3539,5531,1063,9218,1489,11453,1565,8228,1408,24126,2335,3044,725,44870,3189,16074,1794,11951,1574,6795,1461,4353,1168,3434,794,2263,522,41117,2600,25425,2482,8540,1474,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
14821,2183,8307,1576,5009,1292,2325,748,38630,3350,24505,2474,9848,1775,2465,705,845,419,214,221,753,611,46278,3828,40663,3301,3402,1110,1088,537,52,62,47,75,1026,489,0400000US32,458116,7272,49178,3945,111,132,271,234,934,422,687,394,34083,3159,13092,1952,67488,4163,904,439,915,505,1814,600,1769,627,59588,3992,2498,803,91742,5464,2962,908,4632,943,10993,1867,12457,2069,58002,4268,2696,863,78919,5140,9934,1540,16945,2149,17894,2578,12566,1456,20181,2895,1399,534,85881,4512,30711,2976,24708,2664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
5885,1141,2478,800,1407,637,902,459,15174,2084,9588,1440,3265,1070,1033,498,191,189,173,188,924,550,13948,1980,11871,1854,989,626,135,218,0,185,101,129,852,366,0400000US33,154991,5597,15746,2051,468,309,170,167,1292,727,1001,589,10461,1862,2354,706,22737,2553,678,442,1454,587,1977,653,1667,635,15737,2384,1224,526,31455,3087,1288,611,1546,610,2523,825,3644,1061,21558,2650,896,391,26634,3066,3701,1146,4761,1174,5635,1335,5413,1397,6388,1409,736,430,29297,2679,9467,1739,9158,1484,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
44208,3512,23125,2433,32372,3585,5330,1127,115219,4882,58319,3723,29209,2677,13883,2103,5236,1313,5306,1323,3266,778,161616,6240,125044,6092,20683,2355,7549,1236,1684,580,1474,619,5182,1053,0400000US34,1141916,14360,131904,6282,2657,1034,1338,582,8265,1691,5485,1329,88394,5072,25765,2734,170133,7228,6702,1460,6019,1208,9256,1618,8709,1526,133355,6037,6092,1231,205143,7848,6773,1360,5206,1072,9604,1764,17923,2495,159765,6739,5872,1089,158913,6693,7343,1427,16392,2040,29385,2809,31899,3541,68515,4104,5379,1223,198988,6687,40581,3425,53372,3620,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
4289,1004,907,448,1242,621,2148,590,16335,2162,11380,1970,2618,861,559,385,357,393,0,195,1421,642,12359,1765,11372,1683,538,413,79,137,0,195,77,125,293,188,0400000US35,241814,6643,41725,3523,337,304,287,219,1668,704,1378,642,26889,3175,11166,2070,48756,3773,883,479,1175,483,3065,800,2225,786,38054,3375,3354,832,52959,3662,5227,1118,5507,1241,7670,1643,8376,1630,22190,2486,3989,1085,34840,2757,7899,1576,7081,1460,7367,1508,4718,1257,4845,1063,2930,856,34840,2977,16285,2307,9969,1681,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
95596,5781,60628,4414,92449,5941,17762,2012,296245,9780,134828,7069,70260,4094,38173,3193,22129,2847,21189,2792,9666,1554,491639,10741,349691,9322,72603,5707,32444,3503,16012,2731,9414,1766,11475,1888,0400000US36,3346057,18812,467358,11975,3917,1244,4103,1079,25320,2604,27564,3093,317643,9790,88811,4900,532838,12787,19147,2213,19619,2274,34259,3005,33344,3076,407931,10993,18538,2367,603295,13615,37751,2992,38144,3406,53108,4361,58066,3999,393038,11391,23188,2661,439940,10923,52271,3337,65220,5019,64348,4291,67462,4686,173328,6371,17311,2021,514742,11360,144658,6212,103649,5836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
19107,2568,8906,1869,7336,1379,11724,1622,77445,5049,59133,4349,9847,1692,2098,647,476,259,1096,579,4795,1321,76459,4650,68172,4419,2620,792,970,457,236,221,449,350,4012,930,0400000US37,1342763,14344,203415,7044,2328,701,2918,858,7610,1284,5631,1365,129514,5996,55414,3962,253394,7826,8364,1328,7610,1496,11428,1768,15184,2295,189121,7335,21687,2528,321167,9844,20360,2223,33537,3165,52354,4164,54543,4229,140065,7195,20308,2248,219434,7610,49856,3414,58784,4147,45675,3738,25734,2682,27948,3225,11437,1589,191449,8065,99694,5504,44682,4000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
504,330,508,530,610,401,1301,385,8898,1625,6175,1390,957,721,163,151,373,474,49,79,1181,538,6748,1112,5764,1116,93,165,181,215,0,149,0,149,710,255,0400000US38,104909,3874,14330,1852,915,585,223,153,486,381,448,260,9217,1455,3041,799,16300,1775,801,312,1144,486,1373,428,658,362,11667,1668,657,283,26507,2258,2718,645,3802,901,4305,1161,4995,1243,9136,1616,1551,527,16843,2326,7146,1518,3801,1198,1542,622,997,547,1791,848,1566,537,15283,2122,9724,1538,2636,1189,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
17251,2480,3593,924,4621,1218,10261,1574,89949,5357,76241,5088,5560,1212,2057,733,420,305,658,491,5013,1343,74248,4633,66635,4376,2396,839,747,352,300,216,243,277,3927,976,0400000US39,1548950,14954,278349,8327,5094,1382,3884,841,16611,1883,9978,1545,184250,6564,58532,4116,304113,8921,12319,1621,8629,1437,20107,2143,21770,2250,226065,8162,15223,1474,357320,8870,29534,2948,49039,3540,64113,4271,59505,3937,136687,6768,18442,2157,230171,6829,73888,3960,61611,3918,43124,3668,25228,2654,17108,2216,9212,1443,214800,8341,134537,6627,44537,3162,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
3792,890,2402,839,1683,721,4879,859,29175,1838,23752,1902,2768,887,106,112,118,147,279,218,2152,446,24943,2474,22430,2481,1083,459,159,133,76,83,0,157,1195,353,0400000US40,498737,8276,76520,3888,1136,448,507,185,4032,885,3133,688,48848,3172,18864,1814,92394,3707,3916,783,3181,693,6480,1146,7568,1131,62942,3091,8307,1066,118125,4803,9799,1083,17565,2075,20818,2246,19778,2069,39957,2742,10208,1278,83040,3648,27396,2279,20161,2124,14551,2072,6030,1092,8481,1356,6421,1125,74540,3843,48496,2823,13288,1688,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
13159,1912,6411,1475,6497,1330,3192,1024,44147,3976,28771,3204,9549,1568,2408,737,665,402,1383,549,1371,574,42117,3054,37028,2718,2931,875,571,359,258,263,219,227,1110,565,0400000US41,596869,8290,82057,5094,1246,740,580,323,3804,1038,1737,749,60434,3971,14256,2303,100267,5252,2033,750,2365,727,4855,1036,4248,908,82464,4402,4302,1008,135188,5380,4724,1256,9553,1710,16001,2314,19000,2053,80844,4783,5066,1114,98665,6042,14961,2001,23446,2706,20636,2505,14835,2226,20783,2857,4004,1078,94428,4177,39060,2964,26109,2772,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
26545,2454,10191,1488,12317,1488,10195,1357,106741,4630,75471,4205,13345,1952,7051,1654,2614,887,2486,627,5774,934,102858,4934,86980,4620,6405,1141,2354,691,619,306,427,294,6073,912,0400000US42,1533724,16437,240565,8943,3082,922,3208,921,12689,1581,11244,1464,158209,7321,52133,3961,292063,8690,9178,1311,10914,1360,23675,2212,17383,1913,209526,8224,21387,2047,332465,8468,23349,2872,30921,2456,47819,3681,49416,3332,160706,5954,20254,2143,229297,6293,49648,3000,49157,3178,45488,3773,32469,3125,39172,2965,13363,1572,229735,7670,116406,5312,54081,4033,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
2984,957,2208,824,2290,934,634,362,13443,2184,9894,1964,2114,640,719,372,105,118,322,322,289,221,11415,1569,9275,1463,1001,444,213,254,415,293,67,111,444,339,0400000US44,160957,5516,25227,2603,536,409,487,392,2738,939,1462,610,15093,1659,4911,1343,30474,3131,1579,672,1900,611,2423,826,2440,801,20761,2487,1371,706,33973,3487,2196,765,1351,534,3777,1233,3837,791,21941,2901,871,575,22464,2873,4047,1368,5121,1469,4416,1182,3693,1195,4641,979,546,344,23961,2242,8892,1579,6953,1215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
8050,1793,2459,935,2748,800,6190,1531,31651,3654,24218,2784,3688,1276,950,465,519,525,296,263,1980,673,32893,3290,28302,3037,1739,712,386,305,154,166,200,222,2112,718,0400000US45,571375,10442,100773,4724,664,388,640,324,2548,827,2193,810,63247,4296,31481,3044,110282,6483,3009,970,3573,892,5921,1322,7349,1607,78503,5360,11927,2076,134059,5587,9339,1787,13623,1979,17828,2065,22120,2907,57265,4344,13884,1865,82314,4983,18819,2310,19268,2559,16554,2339,11581,1713,9666,1717,6426,1403,79403,4714,43558,3382,16398,1921,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
978,520,117,96,168,196,942,267,5156,1069,4048,929,337,287,0,155,0,155,124,212,647,305,3970,782,2967,717,243,375,0,155,0,155,0,155,760,255,0400000US46,108597,3718,14097,2069,573,318,295,186,739,377,1306,653,9750,1684,1434,683,20992,1979,1917,583,1628,718,2415,616,2550,858,11320,1517,1162,415,28351,2245,4672,1023,4550,1203,4661,959,4497,1114,7333,1305,2638,753,21561,2280,8567,1480,5529,1152,3753,1033,1230,530,1166,560,1316,422,14470,1815,10194,1574,2071,790,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
11070,1689,3932,1142,2816,882,8770,1598,46333,4078,34253,3619,4666,1068,2198,823,173,214,768,430,4275,1197,39972,3560,35085,3442,1936,553,696,511,286,392,192,256,1777,649,0400000US47,837273,12275,143763,6609,3092,830,2192,895,5928,1153,4475,1137,88080,5550,39996,3132,167666,6941,4607,1103,5669,1160,11194,1664,11831,1621,118535,6223,15830,2089,196292,8390,12849,1703,22260,2496,31579,2987,36035,3375,79011,5153,14558,1788,130183,6097,32212,2892,37448,3662,25124,2736,14047,2128,13388,1994,7964,1430,113064,5673,61232,4236,25244,2701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
79629,5663,37489,3929,26048,2809,23250,2469,268428,9359,185298,7053,45116,4248,16726,2295,5439,1418,3543,832,12306,2112,304178,10471,265991,9862,19355,2735,4494,1080,2509,899,814,445,11015,1715,0400000US48,3476536,24237,443163,10630,4081,1147,5972,1190,15014,1845,9524,1513,294473,8517,114099,6017,560954,13436,13751,1746,13271,2140,22363,2915,25244,3014,452268,11693,34057,2543,754985,13576,38027,3082,66112,5033,104513,6346,129655,5711,377254,9866,39424,3486,568273,14180,104878,5776,141564,6819,127552,6706,81543,5638,89552,5331,23184,2516,576555,13235,261912,8691,148227,7604,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
6898,1460,3514,825,2313,896,2431,740,27894,2993,18458,2251,4790,1236,2857,1092,474,435,403,349,912,485,21188,2809,18732,2778,1190,625,249,258,134,205,0,185,883,411,0400000US49,276903,6549,28897,2845,258,230,128,149,1353,608,635,336,19716,2301,6807,1320,41507,2878,1136,542,1293,396,2128,710,1511,618,32252,2866,3187,698,60844,3835,2895,890,4429,1064,7130,1253,10390,1513,32787,2755,3213,892,49254,3718,7730,1503,12043,1514,10471,1882,6869,1392,9632,1693,2509,635,47319,3885,21617,2375,10546,1505,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
1893,681,767,412,499,236,824,394,5552,1127,3907,1050,1047,436,456,298,0,151,0,151,142,88,3974,845,2956,758,330,281,243,347,13,21,0,151,432,197,0400000US50,73443,3385,10656,1723,119,114,414,435,886,419,508,272,7526,1481,1203,366,16407,1921,544,343,824,386,1051,433,753,422,12331,1598,904,572,15171,1803,517,292,978,453,1522,496,3765,1046,7389,984,1000,411,10099,1644,1487,506,2161,738,2626,743,1386,579,2023,632,416,201,11584,1565,4436,981,3165,672,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
37466,3658,21660,2323,28349,2646,6540,1233,102024,6188,40075,3609,26283,2468,17559,2489,7254,1401,6784,1423,4069,956,150041,7039,104306,5558,26320,2611,10863,1810,2732,657,1864,633,3956,896,0400000US51,1050671,14360,118814,5862,1357,572,1133,530,5660,1204,4349,1144,75350,4530,30965,2992,146698,5448,5534,1221,4751,1083,6806,1566,7329,1313,111009,4440,11269,1721,191457,7500,10596,1613,12154,1881,17403,2097,22226,2496,117488,6214,11590,1423,155670,6272,23272,2702,23897,2479,28314,3200,21817,2583,51317,3852,7053,1319,185967,7297,51420,3822,40532,3877,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
