GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001EA,C27003_001MA,C27003_002MA,C27003_002EA,C27003_003EA,C27003_003MA,C27003_004EA,C27003_004MA,C27003_005MA,C27003_005EA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008EA,C27003_008MA,C27003_009EA,C27003_009MA,C27003_010EA,C27003_010MA,C27003_011EA,C27003_011MA,C27003_012MA,C27003_012EA,C27003_013MA,C27003_013EA,C27003_014EA,C27003_014MA,C27003_015MA,C27003_015EA,C27003_016EA,C27003_016MA,C27003_017MA,C27003_017EA,C27003_018MA,C27003_018EA,C27003_019EA,C27003_019MA,C27003_020EA,C27003_020MA,C27003_021EA,C27003_021MA,state
0400000US44,1036046,798,504661,1669,110726,1223,41992,2897,68734,3036,327071,1517,42039,3410,285032,3751,66864,941,63536,1142,3328,762,531385,1618,101704,1154,36204,3075,65500,3170,341377,1161,59233,3572,282144,3929,88304,885,86349,1086,1955,641,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4678122,1962,2246037,4871,546923,3646,237605,7756,309318,8148,1386800,3194,205505,7216,1181295,7451,312314,1521,305146,1702,7168,1452,2432085,4421,529698,3623,233095,7870,296603,7619,1507042,2670,246744,8500,1260298,8991,395345,1782,387324,2371,8021,1547,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,827039,886,413194,2009,106081,1514,38033,2560,68048,2094,253068,1506,33715,2198,219353,2697,54045,801,52900,933,1145,475,413845,1983,101183,1652,33194,2493,67989,2437,248701,1417,29940,2219,218761,2590,63961,644,62528,867,1433,587,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6394644,1872,3103674,5207,764808,4717,327552,8274,437256,8360,1932335,3991,291465,8302,1640870,8195,406531,2135,396256,2532,10275,1709,3290970,5173,724766,4407,303900,8637,420866,8797,2051225,3307,374227,9787,1676998,10410,514979,2121,503616,2705,11363,1942,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25976562,4689,12782688,9932,3594206,8019,1453831,21753,2140375,21476,7904075,7323,824401,15408,7079674,16631,1284407,3334,1220139,5548,64268,4309,13193874,8674,3434576,7912,1406263,19305,2028313,18630,8161504,5415,938223,15319,7223281,15755,1597794,3660,1520731,5402,77063,4022,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2874213,958,1437924,2688,459396,2185,91025,5421,368371,5616,849890,1929,74919,4424,774971,4837,128638,892,124042,1156,4596,967,1436289,2563,434289,2152,88105,4853,346184,4921,851815,1748,80871,4600,770944,4824,150185,936,144938,1575,5247,1275,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,620896,121,305866,1471,63808,1079,30470,2277,33338,2143,196359,1108,44698,2917,151661,3110,45699,541,44515,717,1184,567,315030,1448,60004,1124,26844,1807,33160,1603,201367,950,47697,2476,153670,2628,53659,586,52104,738,1555,494,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8054191,4117,3895923,7044,948364,4650,252452,7458,695912,8532,2471458,5727,245437,7659,2226021,9200,476101,2235,455092,2739,21009,1794,4158268,6203,913294,4539,252161,9111,661133,9182,2641465,4175,273661,9486,2367804,10143,603509,2952,581332,3729,22177,2270,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6864149,3132,3394143,4633,810743,3116,295404,8649,515339,8829,2159053,4250,264217,8048,1894836,9274,424347,2133,407886,2549,16461,1969,3470006,3595,783760,3139,284546,8271,499214,8605,2180146,3036,275864,8405,1904282,8791,506100,1765,490147,2751,15953,2105,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1824821,505,897692,2815,196279,2184,86192,4652,110087,4681,561062,1961,112947,5308,448115,5423,140351,1024,138290,1142,2061,587,927129,2771,184877,1998,85388,4353,99489,4115,571641,1874,111580,4708,460061,5118,170611,1305,167708,1384,2903,812,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
