GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001EA,B17025_001MA,B17025_002MA,B17025_002EA,B17025_003EA,B17025_003MA,B17025_004MA,B17025_004EA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008MA,B17025_008EA,B17025_009MA,B17025_009EA,B17025_010MA,B17025_010EA,B17025_011MA,B17025_011EA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014MA,B17025_014EA,B17025_015MA,B17025_015EA,state
0400000US46,815049,1215,115454,6396,110699,6122,110537,6104,162,160,4755,1619,1428,1016,3327,1176,699595,6606,680272,6867,676503,6708,3769,990,19323,2728,6496,1355,12827,2282,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6335295,3095,1126772,24666,1056470,22253,1048813,22361,7657,1846,70302,7361,16478,3234,53824,6194,5208523,24434,4977684,25854,4932895,25411,44789,4289,230839,9504,96590,5859,134249,8727,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25834229,6476,4530039,65158,3568886,49930,3523773,49982,45113,4817,961153,27453,174776,9507,786377,25585,21304190,65326,17953090,65988,17643037,63981,310053,14150,3351100,34242,1304548,21909,2046552,29998,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2851587,2386,361181,15958,310558,14212,305758,13913,4800,1842,50623,6409,10015,2283,40608,5990,2490406,15750,2306777,15813,2282675,16100,24102,2822,183629,8642,77516,4667,106113,7659,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,602538,524,74058,5273,72000,5142,71444,5111,556,389,2058,981,817,398,1241,730,528480,5250,504198,5372,499827,5270,4371,741,24282,2521,14861,1810,9421,2053,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8010544,3323,938733,25914,835457,24073,823371,24039,12086,1923,103276,6879,34602,3586,68674,5903,7071811,26579,6236958,27345,6110334,26430,126624,5388,834853,16155,438846,10507,396007,14758,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6836262,3828,967282,26419,796595,23477,782436,23267,14159,2376,170687,10389,56031,5199,114656,8590,5868980,26625,5105369,25909,5005566,25231,99803,5983,763611,16121,377802,11825,385809,12634,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1798266,1983,332347,12755,328460,12493,326205,12689,2255,899,3887,1004,1054,466,2833,910,1465919,13165,1445761,13203,1438637,13673,7124,1536,20158,2238,11802,1755,8356,1757,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5593197,2530,755551,17896,702068,15671,695401,15491,6667,1665,53483,5413,14746,2260,38737,4705,4837646,17472,4622452,18452,4586089,18810,36363,3125,215194,7814,102715,4729,112479,7389,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,569307,563,62039,5844,57515,5654,57214,5664,301,250,4524,1162,970,550,3554,1101,507268,5762,494259,5719,490993,5857,3266,912,13009,2022,6047,1217,6962,1555,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3581841,2112,1626879,25081,1589354,24913,72025,5960,1517329,25007,37525,3820,10937,1574,26588,3416,1954962,25505,1899149,24959,102122,5689,1797027,24408,55813,4932,30157,3665,25656,3255,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
