GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001MA,B13010_001EA,B13010_002EA,B13010_002MA,B13010_003EA,B13010_003MA,B13010_004EA,B13010_004MA,B13010_005MA,B13010_005EA,B13010_006MA,B13010_006EA,B13010_007MA,B13010_007EA,B13010_008EA,B13010_008MA,B13010_009EA,B13010_009MA,B13010_010EA,B13010_010MA,B13010_011EA,B13010_011MA,B13010_012MA,B13010_012EA,B13010_013EA,B13010_013MA,B13010_014EA,B13010_014MA,B13010_015EA,B13010_015MA,B13010_016EA,B13010_016MA,B13010_017MA,B13010_017EA,B13010_018MA,B13010_018EA,B13010_019EA,B13010_019MA,state
0400000US13,2469334,8180,126430,6287,75142,5541,12621,1741,15908,2954,46613,3621,51288,3981,26639,2638,14071,2503,10578,1912,2342904,10153,1015314,11532,124742,6530,175438,7113,715134,11643,1327590,14600,368628,11979,313557,12526,645405,13947,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,313259,2056,18310,2027,12366,1794,567,239,2713,872,9086,1549,5944,1273,1363,542,1756,862,2825,872,294949,2995,139840,4912,9278,1554,19652,2562,110910,4140,155109,5421,30204,3184,25701,3412,99204,4732,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,359784,2697,20940,2444,16309,1990,2672,794,5725,1275,7912,1630,4631,1331,2446,859,1153,729,1032,513,338844,3487,171534,5203,17736,2658,37566,3067,116232,4922,167310,4808,46206,3569,42764,3796,78340,4183,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3090382,6520,156488,6300,98117,4264,10801,1733,14901,2025,72415,4014,58371,4933,29425,3414,14837,2574,14109,1969,2933894,8237,1278843,12234,108749,5044,179798,6879,990296,12251,1655051,13791,392265,11582,333659,10584,929127,13366,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1516425,5272,83341,4361,50702,3518,7617,1297,11366,1625,31719,2870,32639,3234,17287,2079,7642,1534,7710,1383,1433084,6310,651919,10221,61078,4332,104635,4656,486206,9206,781165,10003,219690,7381,174012,6332,387463,9421,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,682157,4098,37844,2891,26782,2311,2594,784,5197,1139,18991,1797,11062,1673,5886,1243,3239,796,1937,666,644313,4766,314697,6122,19780,2101,41456,3463,253461,5384,329616,6683,85925,4230,72885,3974,170806,5978,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,651719,3492,43494,3090,29831,2657,4648,1035,7501,1243,17682,2384,13663,2229,6932,1517,3389,994,3342,899,608225,4598,298491,5699,26090,2596,43596,3053,228805,5339,309734,6318,78949,4814,65222,3594,165563,5566,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1008433,5216,53500,3697,34897,3111,7049,1381,6858,1410,20990,2368,18603,1973,11006,1638,3699,946,3898,1061,954933,6348,462999,7510,61182,3606,74450,4596,327367,6855,491934,7726,151631,6221,115664,6205,224639,6454,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1106290,4645,64294,4296,32696,3127,3896,1075,6917,1406,21883,2631,31598,2868,17905,2534,5385,1044,8308,1632,1041996,5693,428291,9713,42861,2917,69712,4276,315718,8761,613705,11109,190620,8953,150438,8053,272647,8526,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,286073,2163,13640,1709,7982,1328,859,413,1738,700,5385,1097,5658,1165,3305,1020,1449,664,904,444,272433,2867,117589,3815,7767,1207,17674,1974,92148,3588,154844,4522,38142,3228,37521,3258,79181,4129,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1439640,4555,76761,4371,49936,3429,4376,1333,7586,1363,37974,2909,26825,2621,8955,1723,8451,1848,9419,1624,1362879,6404,576475,9442,31558,3175,59978,4209,484939,8593,786404,9698,127958,6378,119747,6704,538699,9285,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1583201,4771,77480,4258,54085,3736,4922,1347,5848,1406,43315,3081,23395,2821,11279,1973,5130,1290,6986,1558,1505721,6234,625125,8780,38249,3141,56487,4146,530389,9041,880596,9195,177486,7644,140218,8089,562892,9445,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2267544,5295,121346,5940,70847,3951,11217,1689,12495,1602,47135,2954,50499,4700,27181,2938,12007,2310,11311,1724,2146198,8328,912127,10635,88698,4633,136384,5216,687045,9998,1234071,12869,358269,9917,271425,9034,604377,11869,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1241221,3947,71629,4884,49616,3535,4720,1102,8069,1326,36827,2839,22013,2714,10306,1714,5733,1411,5974,1234,1169592,6091,553331,7009,28678,2456,60129,4146,464524,6539,616261,8309,131885,5973,121369,4693,363007,7288,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,702235,5100,38336,3343,19510,2556,3666,963,4069,1171,11775,1929,18826,2417,10168,1629,4559,1119,4099,1320,663899,6495,280726,7093,43882,4193,51457,3464,185387,5963,383173,8343,140968,7551,96806,6500,145399,6930,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1381312,4535,76864,4367,48664,3421,7648,1479,11198,1744,29818,2680,28200,2845,14447,2075,6908,1443,6845,1342,1304448,6246,596174,8146,58115,4386,95421,4052,442638,7316,708274,9917,178786,8362,165422,6543,364066,9697,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
