GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001EA,B05003_001MA,B05003_002MA,B05003_002EA,B05003_003MA,B05003_003EA,B05003_004EA,B05003_004MA,B05003_005EA,B05003_005MA,B05003_006EA,B05003_006MA,B05003_007EA,B05003_007MA,B05003_008EA,B05003_008MA,B05003_009MA,B05003_009EA,B05003_010EA,B05003_010MA,B05003_011EA,B05003_011MA,B05003_012MA,B05003_012EA,B05003_013EA,B05003_013MA,B05003_014MA,B05003_014EA,B05003_015MA,B05003_015EA,B05003_016EA,B05003_016MA,B05003_017MA,B05003_017EA,B05003_018MA,B05003_018EA,B05003_019EA,B05003_019MA,B05003_020MA,B05003_020EA,B05003_021EA,B05003_021MA,B05003_022EA,B05003_022MA,B05003_023MA,B05003_023EA,state
0400000US13,9992167,-555555555,4879034,7527,1271742,6665,1233853,7203,37889,4208,10128,2126,27761,3443,3607292,4932,3148474,12441,458818,11276,166403,6707,292415,9592,5113133,7527,1218639,6627,1182969,7569,35670,3729,10198,1974,25472,3181,3894494,3834,3455892,8750,438602,8263,188731,6701,249871,7294,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1404054,-555555555,710917,1599,158733,1211,150882,2112,7851,1759,1913,740,5938,1627,552184,1030,452617,5437,99567,5499,57200,3454,42367,4094,693137,1599,148493,1202,141593,1781,6900,1479,2071,682,4829,1408,544644,716,412498,5372,132146,5205,78548,3809,53598,3748,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1612136,-555555555,810879,2561,222461,2402,215906,2649,6555,1838,1790,909,4765,1611,588418,1601,546207,3222,42211,2852,14182,1791,28029,2492,801257,2561,204393,2120,200967,2273,3426,1027,756,419,2670,1018,596864,1590,553531,3538,43333,3115,19175,2141,24158,2477,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12882135,-555555555,6326778,4846,1545072,3284,1490950,5301,54122,4587,14202,2057,39920,4141,4781706,3349,3929173,12688,852533,12288,392131,10005,460402,11730,6555357,4846,1477083,3794,1427802,5082,49281,3576,15253,1802,34028,3255,5078274,2881,4226742,12257,851532,12776,431376,9573,420156,11626,Illinois,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6570902,-555555555,3228884,4840,810950,3623,796955,4058,13995,1931,3253,905,10742,1789,2417934,3478,2272856,6334,145078,5463,47748,3579,97330,4894,3342018,4840,776592,4146,761925,4594,14667,2060,4946,1327,9721,1906,2565426,2632,2424665,5575,140761,5181,54710,3550,86051,4872,Indiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3090416,-555555555,1528770,3597,370297,3010,362455,2985,7842,1613,2265,719,5577,1478,1158473,2333,1090585,4244,67888,3250,24706,2345,43182,3159,1561646,3597,353169,3168,345116,3290,8053,1435,2409,854,5644,1213,1208477,2345,1143138,4030,65339,3845,25815,2736,39524,2941,Iowa,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2893957,-555555555,1440481,3429,369579,2714,361248,3267,8331,1868,1284,544,7047,1769,1070902,2620,976996,4354,93906,4067,31451,2741,62455,3859,1453476,3429,350963,2774,341524,3241,9439,1649,1793,965,7646,1429,1102513,2137,1016016,3775,86497,3461,32322,2356,54175,3478,Kansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4395295,-555555555,2163067,4037,520630,3623,512841,4067,7789,1431,2473,896,5316,1290,1642437,3085,1573075,4389,69362,3870,22298,2478,47064,3498,2232228,4037,493955,3394,482994,3535,10961,1844,4895,1329,6066,1284,1738273,3066,1677369,4318,60904,3695,26419,2439,34485,2781,Kentucky,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4625470,-555555555,2256464,4818,561642,4160,555535,3957,6107,1450,1242,570,4865,1352,1694822,2366,1601188,5395,93634,5458,34342,3105,59292,4895,2369006,4818,551032,4461,545781,4563,5251,1302,1318,540,3933,1201,1817974,2064,1740407,4024,77567,3482,39131,2734,38436,2997,Louisiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1328302,-555555555,649994,1818,133430,1556,131493,1764,1937,902,814,606,1123,691,516564,1615,499928,2357,16636,1734,9650,1747,6986,1404,678308,1818,126905,1539,124491,1693,2414,779,1333,512,1081,561,551403,1262,527703,2067,23700,1933,13554,1544,10146,1391,Maine,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
