B13012_001E,B13012_001M,B13012_002E,B13012_002M,B13012_003E,B13012_003M,B13012_004E,B13012_004M,B13012_005E,B13012_005M,B13012_006E,B13012_006M,B13012_007E,B13012_007M,B13012_008E,B13012_008M,B13012_009E,B13012_009M,B13012_010E,B13012_010M,B13012_011E,B13012_011M,B13012_012E,B13012_012M,B13012_013E,B13012_013M,B13012_014E,B13012_014M,B13012_015E,B13012_015M,B13012_001M,B13012_001EA,B13012_001MA,B13012_002M,B13012_002EA,B13012_002MA,B13012_003M,B13012_003EA,B13012_003MA,B13012_004M,B13012_004EA,B13012_004MA,B13012_005M,B13012_005EA,B13012_005MA,B13012_006M,B13012_006EA,B13012_006MA,B13012_007M,B13012_007EA,B13012_007MA,B13012_008M,B13012_008EA,B13012_008MA,B13012_009M,B13012_009EA,B13012_009MA,B13012_010M,B13012_010EA,B13012_010MA,B13012_011M,B13012_011EA,B13012_011MA,B13012_012M,B13012_012EA,B13012_012MA,B13012_013M,B13012_013EA,B13012_013MA,B13012_014M,B13012_014EA,B13012_014MA,B13012_015M,B13012_015EA,B13012_015MA,state
1677610,5299,90150,5401,66508,3924,35674,2635,30834,3103,23642,2988,13091,2178,10551,2014,1587460,8019,743240,9450,538801,9980,204439,7269,844220,10322,616497,9946,227723,7557,5299,null,null,5401,null,null,3924,null,null,2635,null,null,3103,null,null,2988,null,null,2178,null,null,2014,null,null,8019,null,null,9450,null,null,9980,null,null,7269,null,null,10322,null,null,9946,null,null,7557,null,null,53
389615,2900,21550,2719,12783,2022,7435,1460,5348,1223,8767,1679,4972,1374,3795,941,368065,3629,169436,4512,121460,4613,47976,2698,198629,4751,126485,4749,72144,4559,2900,null,null,2719,null,null,2022,null,null,1460,null,null,1223,null,null,1679,null,null,1374,null,null,941,null,null,3629,null,null,4512,null,null,4613,null,null,2698,null,null,4751,null,null,4749,null,null,4559,null,null,54
1267976,4403,70063,3525,47115,2932,32831,2390,14284,1560,22948,2160,16597,1735,6351,1384,1197913,5652,522155,8646,435021,7120,87134,4717,675758,9674,530859,9011,144899,5266,4403,null,null,3525,null,null,2932,null,null,2390,null,null,1560,null,null,2160,null,null,1735,null,null,1384,null,null,5652,null,null,8646,null,null,7120,null,null,4717,null,null,9674,null,null,9011,null,null,5266,null,null,55
125740,2092,7386,1260,4664,1018,2844,831,1820,629,2722,888,2123,854,599,312,118354,2573,57527,2675,44661,2832,12866,1560,60827,2925,45616,3141,15211,2046,2092,null,null,1260,null,null,1018,null,null,831,null,null,629,null,null,888,null,null,854,null,null,312,null,null,2573,null,null,2675,null,null,2832,null,null,1560,null,null,2925,null,null,3141,null,null,2046,null,null,56
796058,3359,28556,2806,12108,1911,8204,1734,3904,1019,16448,1890,8092,1493,8356,1471,767502,4267,231320,6839,154633,6247,76687,4440,536182,7695,293742,5750,242440,6292,3359,null,null,2806,null,null,1911,null,null,1734,null,null,1019,null,null,1890,null,null,1493,null,null,1471,null,null,4267,null,null,6839,null,null,6247,null,null,4440,null,null,7695,null,null,5750,null,null,6292,null,null,72
1115376,4812,57033,4214,31569,3134,18613,2450,12956,1849,25464,3014,17748,2337,7716,1683,1058343,6470,470945,9723,339312,9030,131633,5067,587398,10567,391513,9337,195885,7383,4812,null,null,4214,null,null,3134,null,null,2450,null,null,1849,null,null,3014,null,null,2337,null,null,1683,null,null,6470,null,null,9723,null,null,9030,null,null,5067,null,null,10567,null,null,9337,null,null,7383,null,null,01
171011,2168,9721,1473,6388,1097,4117,907,2271,661,3333,852,2161,725,1172,486,161290,2690,73865,3028,57575,2905,16290,1670,87425,3675,63090,3103,24335,2236,2168,null,null,1473,null,null,1097,null,null,907,null,null,661,null,null,852,null,null,725,null,null,486,null,null,2690,null,null,3028,null,null,2905,null,null,1670,null,null,3675,null,null,3103,null,null,2236,null,null,02
1540812,4895,81247,4675,50148,3765,28178,2772,21970,2404,31099,3444,18915,2500,12184,2202,1459565,7111,609193,9974,422125,9010,187068,6076,850372,9948,605943,11201,244429,8264,4895,null,null,4675,null,null,3765,null,null,2772,null,null,2404,null,null,3444,null,null,2500,null,null,2202,null,null,7111,null,null,9974,null,null,9010,null,null,6076,null,null,9948,null,null,11201,null,null,8264,null,null,04
667722,4188,38252,3198,23529,2783,13237,2187,10292,1800,14723,1850,9781,1752,4942,1155,629470,5795,296512,6904,215333,6635,81179,5375,332958,7773,216068,7089,116890,6148,4188,null,null,3198,null,null,2783,null,null,2187,null,null,1800,null,null,1850,null,null,1752,null,null,1155,null,null,5795,null,null,6904,null,null,6635,null,null,5375,null,null,7773,null,null,7089,null,null,6148,null,null,05
9401043,11319,470875,11209,320972,8807,187931,6591,133041,6125,149903,6426,90519,4922,59384,4554,8930168,14440,3843564,23928,2672821,24824,1170743,15883,5086604,25191,3509660,31403,1576944,19596,11319,null,null,11209,null,null,8807,null,null,6591,null,null,6125,null,null,6426,null,null,4922,null,null,4554,null,null,14440,null,null,23928,null,null,24824,null,null,15883,null,null,25191,null,null,31403,null,null,19596,null,null,06
1299971,4090,67942,4182,50322,3322,32101,2563,18221,2239,17620,2768,11257,2116,6363,1637,1232029,6352,587754,7800,439427,7453,148327,5913,644275,9850,489142,8275,155133,5622,4090,null,null,4182,null,null,3322,null,null,2563,null,null,2239,null,null,2768,null,null,2116,null,null,1637,null,null,6352,null,null,7800,null,null,7453,null,null,5913,null,null,9850,null,null,8275,null,null,5622,null,null,08
807000,3167,33725,3016,22851,2419,17518,2096,5333,1137,10874,1544,8297,1478,2577,985,773275,4404,313521,5964,243241,6311,70280,4396,459754,6734,350133,7323,109621,4391,3167,null,null,3016,null,null,2419,null,null,2096,null,null,1137,null,null,1544,null,null,1478,null,null,985,null,null,4404,null,null,5964,null,null,6311,null,null,4396,null,null,6734,null,null,7323,null,null,4391,null,null,09
212243,1903,9823,1631,5499,1085,3638,970,1861,650,4324,1273,3090,1062,1234,657,202420,2298,81519,3793,64451,3655,17068,2264,120901,4727,85173,4000,35728,3569,1903,null,null,1631,null,null,1085,null,null,970,null,null,650,null,null,1273,null,null,1062,null,null,657,null,null,2298,null,null,3793,null,null,3655,null,null,2264,null,null,4727,null,null,4000,null,null,3569,null,null,10
204393,1399,9372,1672,4859,990,4028,801,831,481,4513,1263,2873,1018,1640,811,195021,1960,48075,3548,41062,3271,7013,1326,146946,4041,111999,4306,34947,2563,1399,null,null,1672,null,null,990,null,null,801,null,null,481,null,null,1263,null,null,1018,null,null,811,null,null,1960,null,null,3548,null,null,3271,null,null,1326,null,null,4041,null,null,4306,null,null,2563,null,null,11
