B27001C_001E,B27001C_001M,B27001C_002E,B27001C_002M,B27001C_003E,B27001C_003M,B27001C_004E,B27001C_004M,B27001C_005E,B27001C_005M,B27001C_006E,B27001C_006M,B27001C_007E,B27001C_007M,B27001C_008E,B27001C_008M,B27001C_009E,B27001C_009M,B27001C_010E,B27001C_010M,B27001C_011E,B27001C_011M,B27001C_012E,B27001C_012M,B27001C_013E,B27001C_013M,B27001C_014E,B27001C_014M,B27001C_015E,B27001C_015M,B27001C_016E,B27001C_016M,B27001C_017E,B27001C_017M,B27001C_018E,B27001C_018M,B27001C_019E,B27001C_019M,B27001C_020E,B27001C_020M,B27001C_021E,B27001C_021M,B27001C_022E,B27001C_022M,B27001C_023E,B27001C_023M,B27001C_024E,B27001C_024M,B27001C_025E,B27001C_025M,B27001C_026E,B27001C_026M,B27001C_027E,B27001C_027M,B27001C_028E,B27001C_028M,B27001C_001M,B27001C_001EA,B27001C_001MA,B27001C_002M,B27001C_002EA,B27001C_002MA,B27001C_003M,B27001C_003EA,B27001C_003MA,B27001C_004M,B27001C_004EA,B27001C_004MA,B27001C_005M,B27001C_005EA,B27001C_005MA,B27001C_006M,B27001C_006EA,B27001C_006MA,B27001C_007M,B27001C_007EA,B27001C_007MA,B27001C_008M,B27001C_008EA,B27001C_008MA,B27001C_009M,B27001C_009EA,B27001C_009MA,B27001C_010M,B27001C_010EA,B27001C_010MA,B27001C_011M,B27001C_011EA,B27001C_011MA,B27001C_012M,B27001C_012EA,B27001C_012MA,B27001C_013M,B27001C_013EA,B27001C_013MA,B27001C_014M,B27001C_014EA,B27001C_014MA,B27001C_015M,B27001C_015EA,B27001C_015MA,B27001C_016M,B27001C_016EA,B27001C_016MA,B27001C_017M,B27001C_017EA,B27001C_017MA,B27001C_018M,B27001C_018EA,B27001C_018MA,B27001C_019M,B27001C_019EA,B27001C_019MA,B27001C_020M,B27001C_020EA,B27001C_020MA,B27001C_021M,B27001C_021EA,B27001C_021MA,B27001C_022M,B27001C_022EA,B27001C_022MA,B27001C_023M,B27001C_023EA,B27001C_023MA,B27001C_024M,B27001C_024EA,B27001C_024MA,B27001C_025M,B27001C_025EA,B27001C_025MA,B27001C_026M,B27001C_026EA,B27001C_026MA,B27001C_027M,B27001C_027EA,B27001C_027MA,B27001C_028M,B27001C_028EA,B27001C_028MA,state
22294,3426,787,553,787,553,0,201,2819,1016,2819,1016,0,201,2694,1012,2281,924,413,419,3371,1117,2735,981,636,476,3204,950,2674,841,530,309,3165,838,2946,769,219,262,2788,766,2721,756,67,82,2467,795,2467,795,0,201,999,457,999,457,0,201,3426,null,null,553,null,null,553,null,null,201,null,null,1016,null,null,1016,null,null,201,null,null,1012,null,null,924,null,null,419,null,null,1117,null,null,981,null,null,476,null,null,950,null,null,841,null,null,309,null,null,838,null,null,769,null,null,262,null,null,766,null,null,756,null,null,82,null,null,795,null,null,795,null,null,201,null,null,457,null,null,457,null,null,201,null,null,51
92262,6508,8286,1397,7088,1350,1198,537,19166,2560,16231,1974,2935,1331,9649,1315,7350,1162,2299,642,12284,1907,9790,1563,2494,733,11422,1655,9922,1397,1500,760,12343,1459,10011,1403,2332,806,10419,1137,8778,1060,1641,463,6060,1228,5962,1211,98,117,2633,732,2633,732,0,198,6508,null,null,1397,null,null,1350,null,null,537,null,null,2560,null,null,1974,null,null,1331,null,null,1315,null,null,1162,null,null,642,null,null,1907,null,null,1563,null,null,733,null,null,1655,null,null,1397,null,null,760,null,null,1459,null,null,1403,null,null,806,null,null,1137,null,null,1060,null,null,463,null,null,1228,null,null,1211,null,null,117,null,null,732,null,null,732,null,null,198,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
50703,2732,4496,816,3750,809,746,285,9861,1095,8673,1074,1188,496,5196,877,4100,827,1096,392,7330,1139,5681,908,1649,620,6718,1317,5688,1365,1030,425,6130,1046,4954,946,1176,451,6786,742,6059,781,727,285,2960,507,2960,507,0,147,1226,402,1226,402,0,147,2732,null,null,816,null,null,809,null,null,285,null,null,1095,null,null,1074,null,null,496,null,null,877,null,null,827,null,null,392,null,null,1139,null,null,908,null,null,620,null,null,1317,null,null,1365,null,null,425,null,null,1046,null,null,946,null,null,451,null,null,742,null,null,781,null,null,285,null,null,507,null,null,507,null,null,147,null,null,402,null,null,402,null,null,147,null,null,55
12469,1436,1474,451,935,487,539,270,2976,670,1587,479,1389,701,1251,340,667,336,584,192,1579,415,682,343,897,340,1237,262,662,244,575,260,1624,642,902,619,722,424,1049,285,566,259,483,182,1000,433,1000,433,0,197,279,117,279,117,0,197,1436,null,null,451,null,null,487,null,null,270,null,null,670,null,null,479,null,null,701,null,null,340,null,null,336,null,null,192,null,null,415,null,null,343,null,null,340,null,null,262,null,null,244,null,null,260,null,null,642,null,null,619,null,null,424,null,null,285,null,null,259,null,null,182,null,null,433,null,null,433,null,null,197,null,null,117,null,null,117,null,null,197,null,null,56
8082,2395,351,326,351,326,0,222,1344,611,1344,611,0,222,863,650,863,650,0,222,788,471,788,471,0,222,1736,782,1513,745,223,222,961,518,837,474,124,157,879,485,829,465,50,82,951,473,885,468,66,108,209,177,209,177,0,222,2395,null,null,326,null,null,326,null,null,222,null,null,611,null,null,611,null,null,222,null,null,650,null,null,650,null,null,222,null,null,471,null,null,471,null,null,222,null,null,782,null,null,745,null,null,222,null,null,518,null,null,474,null,null,157,null,null,485,null,null,465,null,null,82,null,null,473,null,null,468,null,null,108,null,null,177,null,null,177,null,null,222,null,null,72
24269,3211,830,399,830,399,0,195,4417,1257,4361,1228,56,113,1732,767,927,462,805,623,3527,1160,2194,837,1333,817,3164,864,2520,789,644,406,4868,1111,4195,1078,673,390,2997,984,2576,889,421,369,1616,565,1616,565,0,195,1118,474,1118,474,0,195,3211,null,null,399,null,null,399,null,null,195,null,null,1257,null,null,1228,null,null,113,null,null,767,null,null,462,null,null,623,null,null,1160,null,null,837,null,null,817,null,null,864,null,null,789,null,null,406,null,null,1111,null,null,1078,null,null,390,null,null,984,null,null,889,null,null,369,null,null,565,null,null,565,null,null,195,null,null,474,null,null,474,null,null,195,null,null,01
105728,3673,11599,1079,10094,1016,1505,368,22411,1874,17591,1600,4820,1741,12490,1110,8521,1192,3969,661,15649,1501,9034,1483,6615,1167,13503,1335,7686,1073,5817,1516,10539,732,6757,741,3782,527,10769,933,6616,911,4153,753,5788,751,5622,752,166,127,2980,477,2968,479,12,14,3673,null,null,1079,null,null,1016,null,null,368,null,null,1874,null,null,1600,null,null,1741,null,null,1110,null,null,1192,null,null,661,null,null,1501,null,null,1483,null,null,1167,null,null,1335,null,null,1073,null,null,1516,null,null,732,null,null,741,null,null,527,null,null,933,null,null,911,null,null,753,null,null,751,null,null,752,null,null,127,null,null,477,null,null,479,null,null,14,null,null,02
300673,7007,32359,1777,29254,1686,3105,1095,61668,3243,51886,3272,9782,1718,35818,1958,24598,2194,11220,1588,48032,1934,34112,2089,13920,2376,37387,1996,27649,1749,9738,1432,32233,1695,24802,1637,7431,1180,28173,1126,21689,1401,6484,1200,16115,902,15477,888,638,310,8888,657,8457,661,431,201,7007,null,null,1777,null,null,1686,null,null,1095,null,null,3243,null,null,3272,null,null,1718,null,null,1958,null,null,2194,null,null,1588,null,null,1934,null,null,2089,null,null,2376,null,null,1996,null,null,1749,null,null,1432,null,null,1695,null,null,1637,null,null,1180,null,null,1126,null,null,1401,null,null,1200,null,null,902,null,null,888,null,null,310,null,null,657,null,null,661,null,null,201,null,null,04
18556,2035,1356,477,1311,475,45,79,3652,1179,3393,1180,259,301,2735,1155,1753,791,982,838,2260,659,1550,556,710,378,2402,820,1832,759,570,389,2189,612,1747,545,442,380,2326,733,2263,727,63,95,1139,559,1104,558,35,59,497,342,497,342,0,197,2035,null,null,477,null,null,475,null,null,79,null,null,1179,null,null,1180,null,null,301,null,null,1155,null,null,791,null,null,838,null,null,659,null,null,556,null,null,378,null,null,820,null,null,759,null,null,389,null,null,612,null,null,545,null,null,380,null,null,733,null,null,727,null,null,95,null,null,559,null,null,558,null,null,59,null,null,342,null,null,342,null,null,197,null,null,05
284213,15444,20387,2868,19258,2770,1129,613,48961,5982,45763,5895,3198,1030,31612,3670,26999,3396,4613,1338,39906,3912,31492,3318,8414,1983,37327,3582,30869,3010,6458,1820,38149,3426,33030,3151,5119,1130,35130,2719,32296,2733,2834,767,20266,2504,20118,2495,148,136,12475,1667,12418,1659,57,92,15444,null,null,2868,null,null,2770,null,null,613,null,null,5982,null,null,5895,null,null,1030,null,null,3670,null,null,3396,null,null,1338,null,null,3912,null,null,3318,null,null,1983,null,null,3582,null,null,3010,null,null,1820,null,null,3426,null,null,3151,null,null,1130,null,null,2719,null,null,2733,null,null,767,null,null,2504,null,null,2495,null,null,136,null,null,1667,null,null,1659,null,null,92,null,null,06
53271,4497,3656,1202,3549,1186,107,146,8068,1657,7824,1670,244,255,7586,1370,5763,1147,1823,1027,7945,1649,6566,1445,1379,607,7160,1542,5153,1259,2007,845,7270,1385,6420,1221,850,471,6384,1284,5216,1058,1168,617,3937,755,3768,747,169,208,1265,469,1068,453,197,201,4497,null,null,1202,null,null,1186,null,null,146,null,null,1657,null,null,1670,null,null,255,null,null,1370,null,null,1147,null,null,1027,null,null,1649,null,null,1445,null,null,607,null,null,1542,null,null,1259,null,null,845,null,null,1385,null,null,1221,null,null,471,null,null,1284,null,null,1058,null,null,617,null,null,755,null,null,747,null,null,208,null,null,469,null,null,453,null,null,201,null,null,08
9645,2989,1714,1226,1653,1217,61,108,1118,621,925,475,193,245,939,596,610,441,329,411,1467,662,1273,612,194,238,2151,1093,1866,1022,285,291,701,372,516,319,185,176,1080,526,1080,526,0,200,180,152,180,152,0,200,295,317,295,317,0,200,2989,null,null,1226,null,null,1217,null,null,108,null,null,621,null,null,475,null,null,245,null,null,596,null,null,441,null,null,411,null,null,662,null,null,612,null,null,238,null,null,1093,null,null,1022,null,null,291,null,null,372,null,null,319,null,null,176,null,null,526,null,null,526,null,null,200,null,null,152,null,null,152,null,null,200,null,null,317,null,null,317,null,null,200,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
