B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,B16005D_001M,B16005D_001EA,B16005D_001MA,B16005D_002M,B16005D_002EA,B16005D_002MA,B16005D_003M,B16005D_003EA,B16005D_003MA,B16005D_004M,B16005D_004EA,B16005D_004MA,B16005D_005M,B16005D_005EA,B16005D_005MA,B16005D_006M,B16005D_006EA,B16005D_006MA,B16005D_007M,B16005D_007EA,B16005D_007MA,B16005D_008M,B16005D_008EA,B16005D_008MA,B16005D_009M,B16005D_009EA,B16005D_009MA,B16005D_010M,B16005D_010EA,B16005D_010MA,B16005D_011M,B16005D_011EA,B16005D_011MA,state
12953,1374,3187,885,2090,882,1097,379,865,333,232,184,9766,1319,2466,962,7300,1386,4398,1196,2902,1013,1374,null,null,885,null,null,882,null,null,379,null,null,333,null,null,184,null,null,1319,null,null,962,null,null,1386,null,null,1196,null,null,1013,null,null,54
143089,3003,50385,2700,19851,2401,30534,2828,24770,2681,5764,1403,92704,3065,17015,2212,75689,3639,36036,3143,39653,3004,3003,null,null,2700,null,null,2401,null,null,2828,null,null,2681,null,null,1403,null,null,3065,null,null,2212,null,null,3639,null,null,3143,null,null,3004,null,null,55
5696,1403,2054,951,1015,802,1039,611,1039,611,0,197,3642,1011,1064,675,2578,784,1038,522,1540,779,1403,null,null,951,null,null,802,null,null,611,null,null,611,null,null,197,null,null,1011,null,null,675,null,null,784,null,null,522,null,null,779,null,null,56
5551,1486,3264,1002,96,116,3168,967,225,190,2943,957,2287,924,302,262,1985,793,464,301,1521,773,1486,null,null,1002,null,null,116,null,null,967,null,null,190,null,null,957,null,null,924,null,null,262,null,null,793,null,null,301,null,null,773,null,null,72
60588,3576,17503,2654,10421,2196,7082,1638,5652,1377,1430,716,43085,2758,7949,1714,35136,2495,15502,2294,19634,2070,3576,null,null,2654,null,null,2196,null,null,1638,null,null,1377,null,null,716,null,null,2758,null,null,1714,null,null,2495,null,null,2294,null,null,2070,null,null,01
43374,2855,12591,2073,8166,1942,4425,1359,3482,1239,943,535,30783,2686,3193,895,27590,2556,10826,1998,16764,2142,2855,null,null,2073,null,null,1942,null,null,1359,null,null,1239,null,null,535,null,null,2686,null,null,895,null,null,2556,null,null,1998,null,null,2142,null,null,02
208850,4435,60775,4702,37876,3346,22899,2996,20228,3139,2671,946,148075,4119,22712,2830,125363,4318,69647,4005,55716,4301,4435,null,null,4702,null,null,3346,null,null,2996,null,null,3139,null,null,946,null,null,4119,null,null,2830,null,null,4318,null,null,4005,null,null,4301,null,null,04
39473,2403,10779,1683,5042,1246,5737,1479,4864,1418,873,481,28694,2261,7719,1718,20975,2253,10396,1971,10579,1555,2403,null,null,1683,null,null,1246,null,null,1479,null,null,1418,null,null,481,null,null,2261,null,null,1718,null,null,2253,null,null,1971,null,null,1555,null,null,05
5324976,16404,1777310,22306,972947,19354,804363,15450,667009,14506,137354,6935,3547666,20509,345397,9674,3202269,21531,1444381,20849,1757888,21906,16404,null,null,22306,null,null,19354,null,null,15450,null,null,14506,null,null,6935,null,null,20509,null,null,9674,null,null,21531,null,null,20849,null,null,21906,null,null,06
165017,4312,51059,3812,28361,3013,22698,2635,19719,2572,2979,822,113958,4291,18994,2164,94964,4615,44638,3200,50326,3389,4312,null,null,3812,null,null,3013,null,null,2635,null,null,2572,null,null,822,null,null,4291,null,null,2164,null,null,4615,null,null,3200,null,null,3389,null,null,08
152106,3167,39531,3291,20074,2710,19457,2250,16829,2164,2628,659,112575,3801,17025,2817,95550,4524,55639,4104,39911,3911,3167,null,null,3291,null,null,2710,null,null,2250,null,null,2164,null,null,659,null,null,3801,null,null,2817,null,null,4524,null,null,4104,null,null,3911,null,null,09
33915,1519,7915,1291,4404,1149,3511,882,3214,859,297,240,26000,1494,5909,1794,20091,2130,11141,1744,8950,1713,1519,null,null,1291,null,null,1149,null,null,882,null,null,859,null,null,240,null,null,1494,null,null,1794,null,null,2130,null,null,1744,null,null,1713,null,null,10
25506,1090,10833,1163,6783,1152,4050,879,3654,836,396,327,14673,1469,4561,980,10112,1307,7357,1278,2755,959,1090,null,null,1163,null,null,1152,null,null,879,null,null,836,null,null,327,null,null,1469,null,null,980,null,null,1307,null,null,1278,null,null,959,null,null,11
