B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,B15002H_001M,B15002H_001EA,B15002H_001MA,B15002H_002M,B15002H_002EA,B15002H_002MA,B15002H_003M,B15002H_003EA,B15002H_003MA,B15002H_004M,B15002H_004EA,B15002H_004MA,B15002H_005M,B15002H_005EA,B15002H_005MA,B15002H_006M,B15002H_006EA,B15002H_006MA,B15002H_007M,B15002H_007EA,B15002H_007MA,B15002H_008M,B15002H_008EA,B15002H_008MA,B15002H_009M,B15002H_009EA,B15002H_009MA,B15002H_010M,B15002H_010EA,B15002H_010MA,B15002H_011M,B15002H_011EA,B15002H_011MA,B15002H_012M,B15002H_012EA,B15002H_012MA,B15002H_013M,B15002H_013EA,B15002H_013MA,B15002H_014M,B15002H_014EA,B15002H_014MA,B15002H_015M,B15002H_015EA,B15002H_015MA,B15002H_016M,B15002H_016EA,B15002H_016MA,B15002H_017M,B15002H_017EA,B15002H_017MA,B15002H_018M,B15002H_018EA,B15002H_018MA,B15002H_019M,B15002H_019EA,B15002H_019MA,state
572510,1318,270441,956,8901,1259,15116,1760,61333,3641,15814,1835,48557,3772,21386,1953,60494,3820,38840,2710,302069,552,10680,1796,15825,2296,65130,3868,11724,1600,56014,4239,27058,2584,68804,3776,46834,3592,1318,null,null,956,null,null,1259,null,null,1760,null,null,3641,null,null,1835,null,null,3772,null,null,1953,null,null,3820,null,null,2710,null,null,552,null,null,1796,null,null,2296,null,null,3868,null,null,1600,null,null,4239,null,null,2584,null,null,3776,null,null,3592,null,null,44
2292473,2125,1099715,1242,36552,3233,79616,4515,246006,7079,59363,3590,231793,8228,93704,5295,229710,6129,122971,5006,1192758,1294,31834,2791,77235,4329,264234,7242,48238,2983,254224,7208,135294,5662,241706,7267,139993,5178,2125,null,null,1242,null,null,3233,null,null,4515,null,null,7079,null,null,3590,null,null,8228,null,null,5295,null,null,6129,null,null,5006,null,null,1294,null,null,2791,null,null,4329,null,null,7242,null,null,2983,null,null,7208,null,null,5662,null,null,7267,null,null,5178,null,null,45
492869,889,243744,640,6769,1151,11550,1755,63383,2976,10842,1345,54118,2862,27962,2361,46748,2658,22372,2381,249125,499,4554,831,8390,1289,62934,3345,6782,1292,52674,3025,30844,2249,56349,3273,26598,2054,889,null,null,640,null,null,1151,null,null,1755,null,null,2976,null,null,1345,null,null,2862,null,null,2361,null,null,2658,null,null,2381,null,null,499,null,null,831,null,null,1289,null,null,3345,null,null,1292,null,null,3025,null,null,2249,null,null,3273,null,null,2054,null,null,46
3522010,2199,1689178,1754,76145,4510,133629,4345,447381,9730,114585,5026,352999,8706,107013,5310,298952,8168,158474,6628,1832832,1339,66828,3803,128968,5087,482856,8625,109280,5603,390151,8395,149551,5579,320464,7055,184734,6412,2199,null,null,1754,null,null,4510,null,null,4345,null,null,9730,null,null,5026,null,null,8706,null,null,5310,null,null,8168,null,null,6628,null,null,1339,null,null,3803,null,null,5087,null,null,8625,null,null,5603,null,null,8395,null,null,5579,null,null,7055,null,null,6412,null,null,47
8537887,6421,4165023,4240,75199,4554,200647,7676,772173,13227,199537,7571,1000053,15760,307249,9515,1040319,14052,569846,9636,4372864,3825,77992,4229,210801,8493,879009,13613,161604,6498,1076202,14900,368331,9418,1073612,15444,525313,10882,6421,null,null,4240,null,null,4554,null,null,7676,null,null,13227,null,null,7571,null,null,15760,null,null,9515,null,null,14052,null,null,9636,null,null,3825,null,null,4229,null,null,8493,null,null,13613,null,null,6498,null,null,14900,null,null,9418,null,null,15444,null,null,10882,null,null,48
1460142,1572,722825,1299,5347,1128,29313,2701,130404,5567,22407,2474,194678,5576,66226,3884,164276,4653,110174,4453,737317,988,6072,1656,26024,2454,144313,5636,17734,1971,212757,5569,88781,5172,174356,5963,67280,3280,1572,null,null,1299,null,null,1128,null,null,2701,null,null,5567,null,null,2474,null,null,5576,null,null,3884,null,null,4653,null,null,4453,null,null,988,null,null,1656,null,null,2454,null,null,5636,null,null,1971,null,null,5569,null,null,5172,null,null,5963,null,null,3280,null,null,49
415204,624,200895,165,5420,1089,13232,1812,57351,3122,9060,1340,32113,1967,16217,1849,39152,1940,28350,1906,214309,575,4382,1024,8613,1230,50436,2701,6383,1037,38242,2451,22390,1902,48744,2398,35119,2180,624,null,null,165,null,null,1089,null,null,1812,null,null,3122,null,null,1340,null,null,1967,null,null,1849,null,null,1940,null,null,1906,null,null,575,null,null,1024,null,null,1230,null,null,2701,null,null,1037,null,null,2451,null,null,1902,null,null,2398,null,null,2180,null,null,50
3757704,2501,1824941,1738,57791,3932,100156,5219,346376,7419,86831,3688,346921,6973,120649,5356,422158,8887,344059,7209,1932763,1421,46083,3745,88564,4064,382420,9657,66670,4536,379943,7949,171710,6391,468018,8993,329355,8191,2501,null,null,1738,null,null,3932,null,null,5219,null,null,7419,null,null,3688,null,null,6973,null,null,5356,null,null,8887,null,null,7209,null,null,1421,null,null,3745,null,null,4064,null,null,9657,null,null,4536,null,null,7949,null,null,6391,null,null,8993,null,null,8191,null,null,51
3720765,1354,1832341,796,22155,2440,81857,5113,345468,8908,81483,5368,448878,9699,172864,6612,427799,7773,251837,6416,1888424,993,21548,2386,71652,4445,351139,9457,62765,3487,481771,7487,214081,6929,433245,9107,252223,7104,1354,null,null,796,null,null,2440,null,null,5113,null,null,8908,null,null,5368,null,null,9699,null,null,6612,null,null,7773,null,null,6416,null,null,993,null,null,2386,null,null,4445,null,null,9457,null,null,3487,null,null,7487,null,null,6929,null,null,9107,null,null,7104,null,null,53
1208012,2034,583469,1476,29309,2780,62962,3901,200676,5445,41102,2821,99722,4761,33094,2588,72331,3751,44273,3508,624543,1187,24923,2634,51930,3893,200486,6057,42468,3223,115792,4875,57878,3487,78319,4039,52747,3253,2034,null,null,1476,null,null,2780,null,null,3901,null,null,5445,null,null,2821,null,null,4761,null,null,2588,null,null,3751,null,null,3508,null,null,1187,null,null,2634,null,null,3893,null,null,6057,null,null,3223,null,null,4875,null,null,3487,null,null,4039,null,null,3253,null,null,54
