B27001A_001E,B27001A_001EA,B27001A_001M,B27001A_001MA,B27001A_002E,B27001A_002EA,B27001A_002M,B27001A_002MA,B27001A_003E,B27001A_003EA,B27001A_003M,B27001A_003MA,B27001A_004E,B27001A_004EA,B27001A_004M,B27001A_004MA,B27001A_005E,B27001A_005EA,B27001A_005M,B27001A_005MA,B27001A_006E,B27001A_006EA,B27001A_006M,B27001A_006MA,B27001A_007E,B27001A_007EA,B27001A_007M,B27001A_007MA,B27001A_008E,B27001A_008EA,B27001A_008M,B27001A_008MA,B27001A_009E,B27001A_009EA,B27001A_009M,B27001A_009MA,B27001A_010E,B27001A_010EA,B27001A_010M,B27001A_010MA,B27001A_011E,B27001A_011EA,B27001A_011M,B27001A_011MA,B27001A_012E,B27001A_012EA,B27001A_012M,B27001A_012MA,B27001A_013E,B27001A_013EA,B27001A_013M,B27001A_013MA,B27001A_014E,B27001A_014EA,B27001A_014M,B27001A_014MA,B27001A_015E,B27001A_015EA,B27001A_015M,B27001A_015MA,B27001A_016E,B27001A_016EA,B27001A_016M,B27001A_016MA,B27001A_017E,B27001A_017EA,B27001A_017M,B27001A_017MA,B27001A_018E,B27001A_018EA,B27001A_018M,B27001A_018MA,B27001A_019E,B27001A_019EA,B27001A_019M,B27001A_019MA,B27001A_020E,B27001A_020EA,B27001A_020M,B27001A_020MA,B27001A_021E,B27001A_021EA,B27001A_021M,B27001A_021MA,B27001A_022E,B27001A_022EA,B27001A_022M,B27001A_022MA,B27001A_023E,B27001A_023EA,B27001A_023M,B27001A_023MA,B27001A_024E,B27001A_024EA,B27001A_024M,B27001A_024MA,B27001A_025E,B27001A_025EA,B27001A_025M,B27001A_025MA,B27001A_026E,B27001A_026EA,B27001A_026M,B27001A_026MA,B27001A_027E,B27001A_027EA,B27001A_027M,B27001A_027MA,B27001A_028E,B27001A_028EA,B27001A_028M,B27001A_028MA,GEO_ID,NAME,state
687061,null,3147,null,52496,null,1424,null,49992,null,1500,null,2504,null,968,null,100106,null,2346,null,95016,null,2426,null,5090,null,1281,null,74146,null,1733,null,58328,null,2607,null,15818,null,1969,null,83853,null,2113,null,67164,null,2505,null,16689,null,2037,null,78339,null,1209,null,67638,null,2007,null,10701,null,1794,null,104843,null,992,null,92948,null,1673,null,11895,null,1553,null,88786,null,327,null,81316,null,1318,null,7470,null,1255,null,53263,null,699,null,52951,null,686,null,312,null,327,null,51229,null,830,null,51147,null,816,null,82,null,107,null,0400000US46,South Dakota,46
4906777,null,9186,null,365516,null,5490,null,346312,null,5667,null,19204,null,3145,null,725797,null,5619,null,680560,null,7106,null,45237,null,4314,null,430193,null,3140,null,315873,null,5420,null,114320,null,5420,null,634172,null,4235,null,481903,null,8170,null,152269,null,8599,null,673220,null,3373,null,549478,null,6585,null,123742,null,6380,null,735467,null,1846,null,616349,null,5403,null,119118,null,5036,null,632537,null,1567,null,562730,null,4881,null,69807,null,4774,null,402560,null,1798,null,401110,null,1887,null,1450,null,855,null,307315,null,2521,null,306849,null,2535,null,466,null,305,null,0400000US47,Tennessee,47
17954401,null,51152,null,1725399,null,14976,null,1516691,null,15551,null,208708,null,8520,null,3147966,null,19998,null,2597195,null,22498,null,550771,null,19732,null,1734585,null,11991,null,1063725,null,13887,null,670860,null,14115,null,2490871,null,18591,null,1571661,null,16843,null,919210,null,19107,null,2399215,null,12359,null,1709207,null,15059,null,690008,null,14223,null,2488086,null,11063,null,1938411,null,15679,null,549675,null,15306,null,1921659,null,6219,null,1600908,null,8495,null,320751,null,8459,null,1130888,null,5248,null,1112288,null,5832,null,18600,null,2538,null,915732,null,5688,null,906068,null,5877,null,9664,null,2101,null,0400000US48,Texas,48
2462920,null,9249,null,279154,null,3668,null,256493,null,4716,null,22661,null,3147,null,470266,null,4314,null,421179,null,5974,null,49087,null,5310,null,300014,null,2921,null,234638,null,4259,null,65376,null,4765,null,389488,null,2880,null,311584,null,4970,null,77904,null,5180,null,290203,null,2279,null,239436,null,3940,null,50767,null,3463,null,283965,null,1436,null,245347,null,3487,null,38618,null,3628,null,217294,null,1518,null,195865,null,2648,null,21429,null,2354,null,128095,null,1103,null,127287,null,1207,null,808,null,458,null,104441,null,1445,null,104059,null,1524,null,382,null,314,null,0400000US49,Utah,49
589345,null,1347,null,35307,null,882,null,34635,null,876,null,672,null,348,null,82004,null,964,null,79226,null,1259,null,2778,null,819,null,64910,null,499,null,51701,null,2016,null,13209,null,2010,null,65028,null,691,null,53375,null,1493,null,11653,null,1497,null,75523,null,908,null,67809,null,1628,null,7714,null,1443,null,98650,null,358,null,89899,null,1278,null,8751,null,1230,null,83539,null,328,null,78682,null,886,null,4857,null,901,null,46133,null,534,null,46048,null,555,null,85,null,104,null,38251,null,696,null,38251,null,696,null,0,null,211,null,0400000US50,Vermont,50
5406212,null,15041,null,398882,null,6479,null,377573,null,6731,null,21309,null,3410,null,795125,null,5688,null,750044,null,6901,null,45081,null,4794,null,524818,null,7292,null,416221,null,8463,null,108597,null,6378,null,677168,null,7100,null,550035,null,7580,null,127133,null,6867,null,744273,null,5280,null,647352,null,6669,null,96921,null,6168,null,836232,null,3843,null,752755,null,5546,null,83477,null,4560,null,689954,null,2218,null,642238,null,4137,null,47716,null,3475,null,415506,null,2058,null,412467,null,2054,null,3039,null,1079,null,324254,null,2845,null,324040,null,2872,null,214,null,205,null,0400000US51,Virginia,51
5254072,null,13775,null,375845,null,5531,null,354622,null,5555,null,21223,null,3060,null,773670,null,5891,null,721113,null,7605,null,52557,null,5713,null,478586,null,3727,null,354708,null,5386,null,123878,null,5848,null,698678,null,5217,null,532931,null,8487,null,165747,null,7553,null,701867,null,3714,null,586974,null,6830,null,114893,null,6120,null,825169,null,3430,null,722350,null,5956,null,102819,null,5782,null,698527,null,2053,null,637749,null,3860,null,60778,null,3830,null,382804,null,1518,null,381211,null,1690,null,1593,null,750,null,318926,null,2022,null,318136,null,1968,null,790,null,515,null,0400000US53,Washington,53
1693662,null,2578,null,115954,null,2427,null,110630,null,2862,null,5324,null,1381,null,236644,null,2628,null,222445,null,3692,null,14199,null,2882,null,157028,null,2142,null,108781,null,3682,null,48247,null,3563,null,204105,null,2659,null,146205,null,4522,null,57900,null,3913,null,222544,null,1998,null,177357,null,3944,null,45187,null,3815,null,254161,null,785,null,213551,null,3498,null,40610,null,3518,null,236370,null,1016,null,211201,null,2452,null,25169,null,2476,null,146417,null,849,null,146269,null,841,null,148,null,149,null,120439,null,844,null,120228,null,856,null,211,null,168,null,0400000US54,West Virginia,54
4930698,null,7573,null,347134,null,3230,null,333379,null,3459,null,13755,null,1695,null,722396,null,4403,null,684585,null,5527,null,37811,null,4278,null,498358,null,2044,null,401241,null,4985,null,97117,null,4812,null,594557,null,3932,null,501206,null,5984,null,93351,null,5625,null,648315,null,2607,null,582710,null,4538,null,65605,null,4161,null,801837,null,2100,null,730838,null,4010,null,70999,null,3759,null,624055,null,1615,null,581442,null,3189,null,42613,null,2979,null,366609,null,1307,null,365591,null,1443,null,1018,null,654,null,327437,null,1457,null,327141,null,1416,null,296,null,298,null,0400000US55,Wisconsin,55
488209,null,2138,null,41645,null,1656,null,38147,null,1897,null,3498,null,1089,null,70586,null,1947,null,64423,null,2627,null,6163,null,1661,null,51206,null,1638,null,38171,null,2223,null,13035,null,2064,null,65484,null,1598,null,50365,null,2371,null,15119,null,2319,null,58897,null,1410,null,47705,null,2234,null,11192,null,1787,null,75020,null,1081,null,63184,null,2091,null,11836,null,1858,null,63370,null,704,null,55238,null,1428,null,8132,null,1323,null,34658,null,657,null,34535,null,645,null,123,null,155,null,27343,null,1247,null,27343,null,1247,null,0,null,265,null,0400000US56,Wyoming,56
2869030,null,22307,null,202128,null,5330,null,194142,null,5462,null,7986,null,1440,null,483398,null,8367,null,459231,null,9159,null,24167,null,3380,null,288573,null,6356,null,253735,null,6700,null,34838,null,3225,null,374941,null,8186,null,317749,null,8245,null,57192,null,4376,null,376326,null,5076,null,339475,null,5289,null,36851,null,3898,null,372475,null,5991,null,336466,null,6342,null,36009,null,3219,null,336535,null,4680,null,311840,null,4672,null,24695,null,2438,null,241274,null,3343,null,239212,null,3515,null,2062,null,739,null,193380,null,3167,null,192386,null,3104,null,994,null,474,null,0400000US72,Puerto Rico,72
