C17010I_001E,C17010I_001EA,C17010I_001M,C17010I_001MA,C17010I_002E,C17010I_002EA,C17010I_002M,C17010I_002MA,C17010I_003E,C17010I_003EA,C17010I_003M,C17010I_003MA,C17010I_004E,C17010I_004EA,C17010I_004M,C17010I_004MA,C17010I_005E,C17010I_005EA,C17010I_005M,C17010I_005MA,C17010I_006E,C17010I_006EA,C17010I_006M,C17010I_006MA,C17010I_007E,C17010I_007EA,C17010I_007M,C17010I_007MA,C17010I_008E,C17010I_008EA,C17010I_008M,C17010I_008MA,C17010I_009E,C17010I_009EA,C17010I_009M,C17010I_009MA,C17010I_010E,C17010I_010EA,C17010I_010M,C17010I_010MA,C17010I_011E,C17010I_011EA,C17010I_011M,C17010I_011MA,C17010I_012E,C17010I_012EA,C17010I_012M,C17010I_012MA,C17010I_013E,C17010I_013EA,C17010I_013M,C17010I_013MA,C17010I_014E,C17010I_014EA,C17010I_014M,C17010I_014MA,C17010I_015E,C17010I_015EA,C17010I_015M,C17010I_015MA,C17010I_016E,C17010I_016EA,C17010I_016M,C17010I_016MA,C17010I_017E,C17010I_017EA,C17010I_017M,C17010I_017MA,GEO_ID,NAME,state
75517,null,3162,null,7271,null,1449,null,3008,null,838,null,2169,null,725,null,4263,null,1221,null,1082,null,587,null,934,null,551,null,3181,null,967,null,2801,null,845,null,68246,null,3048,null,46754,null,2924,null,33552,null,2575,null,21492,null,1867,null,9745,null,1433,null,5748,null,1239,null,11747,null,1367,null,8545,null,1417,null,0400000US24,Maryland,24
119984,null,4335,null,32158,null,2780,null,5758,null,1399,null,4565,null,1127,null,26400,null,2597,null,3844,null,1116,null,3627,null,1104,null,22556,null,2363,null,20446,null,2363,null,87826,null,3881,null,46733,null,3257,null,29327,null,2636,null,41093,null,3118,null,12424,null,1907,null,6970,null,1554,null,28669,null,2408,null,20678,null,2138,null,0400000US25,Massachusetts,25
86484,null,3465,null,22098,null,2399,null,9271,null,1706,null,7815,null,1608,null,12827,null,1946,null,1704,null,775,null,1704,null,775,null,11123,null,1812,null,9304,null,1762,null,64386,null,3120,null,45579,null,2920,null,28784,null,2492,null,18807,null,2179,null,7447,null,1596,null,5397,null,1362,null,11360,null,1876,null,7121,null,1293,null,0400000US26,Michigan,26
40935,null,2218,null,10301,null,1652,null,4314,null,1190,null,3737,null,1078,null,5987,null,1277,null,1801,null,866,null,1584,null,856,null,4186,null,1007,null,4005,null,993,null,30634,null,2227,null,19686,null,2128,null,13914,null,1726,null,10948,null,1655,null,4999,null,1081,null,3310,null,1088,null,5949,null,1279,null,4091,null,1041,null,0400000US27,Minnesota,27
11825,null,1552,null,3437,null,1091,null,1991,null,954,null,1661,null,833,null,1446,null,738,null,292,null,188,null,292,null,188,null,1154,null,738,null,984,null,725,null,8388,null,1360,null,5624,null,1177,null,3559,null,930,null,2764,null,902,null,1808,null,710,null,1063,null,642,null,956,null,471,null,758,null,404,null,0400000US28,Mississippi,28
38948,null,2107,null,9135,null,1475,null,4592,null,1158,null,3987,null,1074,null,4543,null,1048,null,1674,null,690,null,1404,null,610,null,2869,null,820,null,2759,null,808,null,29813,null,2257,null,20256,null,1806,null,12416,null,1448,null,9557,null,1412,null,3638,null,1027,null,2665,null,783,null,5919,null,1190,null,3802,null,836,null,0400000US29,Missouri,29
4239,null,1050,null,1327,null,642,null,397,null,324,null,342,null,304,null,930,null,572,null,0,null,240,null,0,null,240,null,930,null,572,null,870,null,594,null,2912,null,820,null,1793,null,654,null,738,null,410,null,1119,null,591,null,201,null,212,null,174,null,200,null,918,null,571,null,393,null,471,null,0400000US30,Montana,30
29579,null,1871,null,6239,null,1219,null,3001,null,1029,null,2884,null,1045,null,3238,null,815,null,780,null,379,null,757,null,377,null,2458,null,687,null,2408,null,681,null,23340,null,1990,null,17021,null,2004,null,12300,null,1662,null,6319,null,1350,null,2783,null,833,null,1083,null,510,null,3536,null,1160,null,2379,null,901,null,0400000US31,Nebraska,31
142670,null,4289,null,23919,null,2569,null,11374,null,2246,null,10413,null,2182,null,12545,null,1729,null,3320,null,1010,null,2767,null,944,null,9225,null,1725,null,8563,null,1752,null,118751,null,4301,null,82155,null,4338,null,58604,null,3762,null,36596,null,3226,null,17964,null,2517,null,11486,null,1913,null,18632,null,2241,null,14066,null,1882,null,0400000US32,Nevada,32
7693,null,940,null,1398,null,495,null,117,null,176,null,117,null,176,null,1281,null,489,null,0,null,255,null,0,null,255,null,1281,null,489,null,1281,null,489,null,6295,null,930,null,4024,null,984,null,2757,null,848,null,2271,null,695,null,1077,null,512,null,504,null,398,null,1194,null,650,null,948,null,604,null,0400000US33,New Hampshire,33
