B14002_006M,B14002_007E,B14002_007M,B14002_008E,B14002_008M,B14002_009E,B14002_009M,B14002_010E,B14002_010M,B14002_011E,B14002_011M,B14002_012E,B14002_012M,B14002_013E,B14002_013M,B14002_014E,B14002_014M,B14002_015E,B14002_015M,B14002_016E,B14002_016M,B14002_017E,B14002_017M,B14002_018E,B14002_018M,B14002_019E,B14002_019M,B14002_020E,B14002_020M,B14002_021E,B14002_021M,B14002_022E,B14002_022M,B14002_023E,B14002_023M,B14002_024E,B14002_024M,B14002_025E,B14002_025M,B14002_026E,B14002_026M,B14002_027E,B14002_027M,B14002_028E,B14002_028M,B14002_029E,B14002_029M,B14002_030E,B14002_030M,B14002_031E,B14002_031M,B14002_032E,B14002_032M,B14002_033E,B14002_033M,B14002_034E,B14002_034M,B14002_035E,B14002_035M,B14002_036E,B14002_036M,B14002_037E,B14002_037M,B14002_038E,B14002_038M,B14002_039E,B14002_039M,B14002_040E,B14002_040M,B14002_041E,B14002_041M,B14002_042E,B14002_042M,B14002_043E,B14002_043M,B14002_044E,B14002_044M,B14002_045E,B14002_045M,B14002_046E,B14002_046M,B14002_047E,B14002_047M,B14002_048E,B14002_048M,B14002_049E,B14002_049M,GEO_ID,B14002_001E,B14002_001M,B14002_002E,B14002_002M,B14002_003E,B14002_003M,B14002_004E,B14002_004M,B14002_005E,B14002_005M,B14002_006E,B14002_006MA,B14002_007MA,B14002_007EA,B14002_008MA,B14002_008EA,B14002_009EA,B14002_009MA,B14002_010EA,B14002_010MA,B14002_011MA,B14002_011EA,B14002_012MA,B14002_012EA,B14002_013MA,B14002_013EA,B14002_014EA,B14002_014MA,B14002_015EA,B14002_015MA,B14002_016MA,B14002_016EA,B14002_017MA,B14002_017EA,B14002_018MA,B14002_018EA,B14002_019EA,B14002_019MA,B14002_020EA,B14002_020MA,B14002_021EA,B14002_021MA,B14002_022MA,B14002_022EA,B14002_023MA,B14002_023EA,B14002_024EA,B14002_024MA,B14002_025EA,B14002_025MA,B14002_026EA,B14002_026MA,B14002_027MA,B14002_027EA,B14002_028MA,B14002_028EA,B14002_029MA,B14002_029EA,B14002_030EA,B14002_030MA,B14002_031EA,B14002_031MA,B14002_032MA,B14002_032EA,B14002_033MA,B14002_033EA,B14002_034MA,B14002_034EA,B14002_035MA,B14002_035EA,B14002_036EA,B14002_036MA,B14002_037EA,B14002_037MA,B14002_038EA,B14002_038MA,B14002_039MA,B14002_039EA,B14002_040MA,B14002_040EA,B14002_041MA,B14002_041EA,B14002_042EA,B14002_042MA,B14002_043EA,B14002_043MA,B14002_044MA,B14002_044EA,B14002_045EA,B14002_045MA,B14002_046MA,B14002_046EA,B14002_047EA,B14002_047MA,B14002_048EA,B14002_048MA,B14002_049MA,B14002_049EA,NAME,B14002_001EA,B14002_001MA,B14002_002MA,B14002_002EA,B14002_003EA,B14002_003MA,B14002_004EA,B14002_004MA,B14002_005MA,B14002_005EA,B14002_006EA,state
2642,39124,2812,33353,2630,5771,1179,158785,4341,145052,4211,13733,1589,170031,5659,149840,5053,20191,2463,179164,3868,155937,4628,23227,2501,120676,6871,68231,5778,52445,4385,52657,5130,15713,2595,36944,4274,2102212,8606,3066771,4419,796504,10288,52351,3626,22797,2519,29554,3013,38438,3672,32319,3330,6119,1189,147880,4694,130147,4719,17733,1908,160341,5097,142377,5207,17964,2386,172685,4542,151062,4447,21623,2748,159415,7655,96213,5951,63202,4727,65394,4949,22420,2658,42974,4045,2270267,9469,0400000US25,5948178,5221,2881407,4683,779195,9435,58758,3417,26738,2168,32020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,25
2046,70753,4136,61984,3777,8769,1291,278376,6294,247572,6450,30804,2808,305012,6354,278977,6609,26035,2494,309801,5112,286031,5033,23770,1814,240930,7713,201271,7741,39659,4358,56264,3775,41135,3222,15129,1787,3286774,9014,4856221,5403,1370206,9979,73311,3823,45452,2986,27859,2534,62318,3453,54870,3096,7448,1186,265859,6200,236888,6148,28971,2360,284907,5732,255235,6385,29672,2427,305094,5366,278417,5286,26677,2565,307652,8018,256166,7966,51486,3465,71065,4994,54477,4181,16588,2309,3486015,10961,0400000US26,9484973,6380,4628752,5881,1341978,9623,80842,4286,53292,3802,27550,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,26
1887,32705,2015,27852,1833,4853,1014,131170,3744,113831,3967,17339,1791,142573,3915,127232,3913,15341,1705,154793,3020,143763,3074,11030,1392,108290,4861,88245,4815,20045,2326,23380,2666,15475,2217,7905,1319,1738996,6878,2414598,3819,652590,6596,39224,2737,23791,2252,15433,1719,30771,2431,26300,2308,4471,966,123705,3574,108876,3650,14829,1640,134693,3847,120364,3735,14329,1470,148608,3306,136827,3329,11781,1602,140899,4786,109709,5222,31190,2891,34690,2225,18870,1805,15820,1855,1762008,6337,0400000US27,4790955,3799,2376357,4273,637361,6719,44450,2440,27754,1972,16696,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,27
1868,23218,2252,20500,2037,2718,883,83466,3846,74738,4076,8728,1704,84879,4330,76803,4242,8076,1661,81213,3663,71630,3646,9583,1796,49069,4020,41846,3587,7223,1628,9412,1828,8171,1723,1241,535,937547,6211,1409943,4513,392609,6594,30111,2762,20266,2272,9845,1628,22505,2591,19633,2317,2872,948,73125,4209,65293,4092,7832,1571,84348,4155,77099,4180,7249,1311,86415,3365,79691,3122,6724,1178,80661,4459,71495,4219,9166,1616,15444,2372,12226,2195,3218,1022,1017334,6163,0400000US28,2706313,4880,1296370,4449,358823,6748,27566,2871,18344,2316,9222,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,28
1662,36918,3173,32710,3106,4208,943,148406,5341,126767,5433,21639,2433,159632,5342,139293,4912,20339,2531,161411,3801,142864,3800,18547,2216,108912,4832,83505,4259,25407,3101,24250,2295,12696,1832,11554,1494,1946497,6789,2775536,4526,709915,7930,45703,3838,27515,3085,18188,2149,32134,2380,27808,2193,4326,951,141328,4446,117555,4732,23773,2610,151367,5183,131681,5190,19686,2605,154695,3582,136762,3605,17933,1921,147071,7109,113966,5536,33105,3357,37617,2913,22601,2287,15016,1802,2065621,8252,0400000US29,5408293,4473,2632757,4034,686260,6868,46731,2980,27329,2495,19402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,29
758,5149,956,4601,914,548,345,22106,1402,20578,1406,1528,423,22707,1618,21312,1650,1395,503,26800,1433,25702,1479,1098,409,18731,2017,16148,2021,2583,1210,3348,822,2491,709,857,479,329915,3128,442842,1992,104816,2991,6184,1116,3301,940,2883,710,4130,1087,3809,1094,321,244,18739,1602,17918,1599,821,286,24208,1695,22501,1813,1707,673,24449,1409,22756,1381,1693,544,22516,1967,19074,1895,3442,1141,4590,1073,3899,982,691,304,338026,3334,0400000US30,877258,1553,434416,1938,104501,2986,5660,1141,3174,892,2486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,30
1138,11972,1015,10250,1071,1722,425,44089,2274,37700,2375,6389,1010,49318,2593,42756,2620,6562,1200,51785,2022,46899,2090,4886,806,38452,2848,32356,2767,6096,1311,9647,1458,5517,1152,4130,1060,587746,4415,826564,2582,226179,4612,15299,1863,7050,1050,8249,1457,11803,1314,9884,1183,1919,619,45680,2093,38578,2107,7102,1069,42153,2095,36045,2100,6108,902,48757,1736,43166,1714,5591,758,48880,2770,40136,2823,8744,1362,13607,2123,9682,1565,3925,1256,600385,3896,0400000US31,1633872,2589,807308,2820,219562,4006,14299,1566,7232,1192,7067,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,31
1341,15922,2512,14426,2414,1496,620,68173,3676,64442,3761,3731,1189,73957,3952,70408,4033,3549,1302,65503,3241,62209,3315,3294,1017,48324,3815,41604,3894,6720,1443,9655,1905,5650,1084,4005,1542,857126,6337,1126494,3776,291482,5407,10147,1657,5121,1507,5026,1050,15947,2022,14115,1906,1832,605,67156,3786,63297,3691,3859,910,69029,3652,66053,3715,2976,769,63105,2988,59595,3064,3510,1374,53351,3787,44305,3453,9046,1717,12747,1955,9656,1595,3091,959,835012,5546,0400000US32,2277031,3904,1150537,2955,293411,6259,11877,1876,5607,1266,6270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,32
1392,6338,1098,4316,918,2022,718,34073,2108,30921,2377,3152,952,39727,2264,36005,2333,3722,921,38481,1588,34956,1772,3525,869,19992,2463,13490,2359,6502,1202,5657,1113,2404,807,3253,767,452170,2903,623233,2036,164373,3530,8940,1454,1813,581,7127,1469,6929,1117,4435,1090,2494,679,32108,2207,28565,2422,3543,812,35238,2083,31871,2195,3367,787,37320,1393,33651,1703,3669,1029,34791,2500,23756,2370,11035,1563,9047,1464,3669,918,5378,994,458860,3675,0400000US33,1229148,2228,605915,1907,153745,3203,9477,1245,3172,871,6305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,33
3498,57968,3610,48153,3373,9815,1807,242124,6996,213610,7161,28514,2872,252435,6920,218789,6503,33646,4018,260510,5466,227234,5743,33276,3310,175488,5968,116637,5333,58851,4317,46995,3777,22735,2778,24260,2746,2834772,8290,4215921,4985,1146285,9871,92257,4735,44006,3073,48251,3525,59182,3942,48745,3953,10437,1700,218522,6212,192281,6122,26241,2641,239800,5842,206842,5481,32958,3879,248806,4816,217754,5570,31052,2875,222618,7476,158523,6797,64095,4377,65100,3835,31757,2478,33343,2906,3069636,9478,0400000US34,8179460,7124,3963539,5580,1128767,8362,93247,4888,47718,3987,45529,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,34
1241,16262,1893,14582,1786,1680,745,47286,3027,44513,2946,2773,997,55413,3219,51370,3202,4043,1007,62205,3470,57930,3415,4275,1016,45998,3491,40674,3426,5324,1291,9021,1748,7915,1682,1106,501,629537,5147,925979,3935,268482,6542,11587,2048,7139,1545,4448,1351,11884,1984,10948,1897,936,373,49997,2889,44929,2883,5068,994,57518,3131,53415,3138,4103,1048,56316,2963,52923,2977,3393,882,67353,4434,60678,4286,6675,1525,13827,1811,11231,1627,2596,776,657497,5386,0400000US35,1808652,2908,882673,3622,253136,5192,16951,2319,12003,2168,4948,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,35
6648,121240,6141,100751,5933,20489,2376,485626,10459,417738,10512,67888,4467,526112,10721,445161,9484,80951,5378,569490,8018,495391,8437,74099,3975,406780,10142,263961,8101,142819,6698,114450,5863,43498,3519,70952,5147,6232939,13906,9297092,8292,2454388,17368,152664,7021,74738,5358,77926,5065,115772,6242,96118,5454,19654,2457,465183,9950,394784,10182,70399,4515,506121,9856,430662,10441,75459,5919,540925,7356,467235,7850,73690,4905,512884,13050,339600,10347,173284,7608,160839,6567,64144,3701,96695,4880,6842704,16700,0400000US36,17910846,10023,8613754,8088,2380815,15618,157117,7040,78494,5582,78623,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,36
3372,59417,4144,53574,3953,5843,1419,236777,6698,215610,6464,21167,2438,253957,6629,226128,6823,27829,2864,238268,6151,223655,6160,14613,2113,174460,6472,146105,6052,28355,3820,35777,3374,22467,2844,13310,2019,2861972,10980,4130012,7054,1110624,12005,65607,4104,32898,3415,32709,2503,58368,4338,52046,3955,6322,1518,221140,6668,200304,6652,20836,2827,231714,7613,211265,7117,20449,2858,234996,6706,215363,6858,19633,2531,247376,8700,209983,7906,37393,3717,51423,4142,36527,2960,14896,2282,3019388,11627,0400000US37,8064915,5781,3934903,6750,1072931,11373,74275,4710,36905,3398,37370,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,37
409,3483,596,3053,579,430,236,15172,1081,14269,1087,903,386,15416,1112,13951,1019,1465,488,16772,886,15835,962,937,444,13484,1503,11967,1392,1517,536,2916,739,2371,642,545,325,220270,2400,295459,1443,75161,1774,3382,692,2518,605,864,352,3957,778,3637,749,320,221,13475,1292,12418,1282,1057,441,14687,1125,13572,1145,1115,434,16197,963,15189,963,1008,431,19235,1322,17271,1448,1964,624,4228,758,3831,753,397,219,220298,1793,0400000US38,586651,1254,291192,1414,70922,2102,3679,734,2457,622,1222,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,38
3005,69787,4261,59813,4023,9974,1300,305244,8273,262644,7933,42600,3346,320492,7316,278389,7482,42103,2847,325198,5193,289665,5583,35533,2733,226657,7730,180026,7308,46631,4929,52744,3444,36075,2715,16669,1997,3811899,10007,5523153,5941,1456282,11050,87903,4958,44743,4400,43160,3207,75986,4405,65147,4184,10839,1452,282911,7155,239110,6505,43801,3635,306369,8079,264650,7560,41719,2875,321534,5588,286458,5753,35076,3009,306577,9258,241301,7896,65276,4735,75002,4171,52631,3600,22371,2530,4066871,9407,0400000US39,10722149,6340,5198996,5286,1387097,9068,86975,4925,45216,3825,41759,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,39
1324,26065,2354,23867,2386,2198,727,93853,4199,86820,4328,7033,1495,94689,4442,88458,4366,6231,1214,93415,3226,87913,3419,5502,1237,76929,4263,65233,3723,11696,2064,13832,2394,9918,2172,3914,1131,1182676,5444,1680862,3744,443229,6396,27173,2277,20501,2131,6672,1038,22030,2170,19363,1987,2667,703,89247,3448,82075,3759,7172,1358,87914,3660,81064,3522,6850,1275,95869,3585,87844,3650,8025,1472,102670,4966,87974,4786,14696,2114,18326,2402,15239,2184,3087,1010,1237633,6577,0400000US40,3290485,3609,1609623,3994,426947,5880,28164,2287,20072,2159,8092,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,40
2083,21096,2039,18562,2068,2534,735,94109,4055,82935,3854,11174,1953,96515,3818,89254,4012,7261,1121,101863,3055,93961,3244,7902,1365,81550,5003,68755,4533,12795,1991,14726,1905,9161,1580,5565,1139,1254847,6520,1734618,3567,441410,5974,20457,2438,8544,1455,11913,1894,24004,2464,20351,2363,3653,1023,90713,4352,80962,4360,9751,1546,85179,3924,77148,3961,8031,1433,98101,3447,91138,3432,6963,1224,100656,5049,87614,4665,13042,1793,22300,2342,14981,2157,7319,1168,1293208,6181,0400000US41,3425098,3253,1690480,3889,435633,6380,25774,2644,10799,1612,14975,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,41
3283,71144,4305,57787,4143,13357,1594,296967,6880,249479,6133,47488,3430,337732,6972,284542,6460,53190,4532,347111,5917,306919,6064,40192,3158,237690,7618,160752,6500,76938,5713,61476,4237,27340,2936,34136,3068,4138363,10032,5965748,5342,1475999,9439,81963,4165,33436,2760,48527,3454,66990,3889,53056,3353,13934,1592,286647,5604,235882,5701,50765,4568,324247,6228,274203,6554,50044,3785,332121,5121,292202,5424,39919,2982,297569,8290,207132,7117,90437,5511,86462,4017,41266,3065,45196,3021,4489749,9276,0400000US42,11550293,5896,5584545,5992,1446182,10548,94062,4092,38440,2756,55622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,42
1055,6646,1440,5079,1323,1567,726,25648,2203,22672,2293,2976,816,30971,2442,27208,2299,3763,1030,28781,1573,25026,1602,3755,1054,22862,3248,13721,2354,9141,2428,6593,1433,1940,720,4653,1268,349752,3463,515664,1813,135693,3192,6763,1219,3066,915,3697,850,5754,1254,4835,1201,919,452,23827,1736,20904,1692,2923,795,29077,2021,24534,2067,4543,1143,29746,1940,26049,1985,3697,1016,30753,2860,22516,2608,8237,1473,9773,1476,5379,1302,4394,1023,379971,3320,0400000US44,993401,2145,477737,2074,127985,3682,6484,1145,2507,724,3977,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,44
1748,31689,3155,26484,2969,5205,1489,113539,4266,100261,4472,13278,1913,122465,5009,109557,4937,12908,1773,114420,3552,105082,3768,9338,1302,70875,4412,58280,3819,12595,2137,14146,2202,9498,1592,4648,1286,1404448,6928,2045528,3944,527746,8086,30012,2736,15845,2128,14167,1561,31162,3314,25561,2997,5601,1201,103153,4388,91267,4440,11886,1656,117022,4851,104663,4672,12359,1723,118787,4370,108413,4278,10374,1367,102460,5205,85072,4664,17388,2145,25150,2374,17321,1987,7829,1222,1517782,8672,0400000US45,3948183,3952,1902655,4082,498207,6483,31073,2735,17761,2176,13312,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,45
691,4682,800,4096,714,586,318,18900,1322,16284,1266,2616,697,20545,1406,18335,1488,2210,487,20879,1402,19796,1378,1083,308,15274,1670,12463,1568,2811,925,2607,740,1934,656,673,307,261937,2594,361551,1546,94143,2451,4717,961,2885,732,1832,606,5215,875,4762,849,453,239,19395,1336,16858,1428,2537,725,21160,1371,19155,1363,2005,631,20587,1211,19747,1175,840,348,18518,1983,14938,1807,3580,893,4551,816,3645,810,906,404,267408,2533,0400000US46,714138,1635,352587,1698,90650,2526,7763,1105,5097,1058,2666,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,46
2508,37921,3044,33940,2985,3981,908,151681,5553,136636,5185,15045,1918,159969,6527,143255,6437,16714,2105,159663,4883,142216,4705,17447,1997,97663,5639,80356,5089,17307,2446,22198,2883,13820,2276,8378,1404,2051456,8080,2860620,4573,684074,8883,37725,2845,18235,1952,19490,2015,31730,3257,26375,3029,5355,1347,142309,5745,128440,5883,13869,1734,151429,5591,133371,5497,18058,2422,150942,4194,133788,4406,17154,1791,138274,6319,114541,6055,23733,2787,31665,3100,20390,2450,11275,1716,2176546,9601,0400000US47,5583740,5386,2723120,5626,671664,7986,42569,3076,22815,2519,19754,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,47
4946,188204,7597,171059,7458,17145,2019,706083,11232,658250,11645,47833,3889,698420,11599,653022,12033,45398,3669,700571,9164,658836,9458,41735,3696,493056,11392,414957,10365,78099,5634,102418,5402,72533,5227,29885,2332,7338947,16400,10723237,12013,3141752,17819,201330,9186,120398,7363,80932,4828,174773,6791,155397,6818,19376,2236,661438,13159,613965,12961,47473,3734,669142,11627,624815,12118,44327,3229,674887,8875,631585,8982,43302,3106,639927,13731,550094,12273,89833,5632,120255,6332,88088,5110,32167,3323,7581485,18719,0400000US48,21161607,13798,10438370,10637,3099423,17333,210671,9053,129672,7608,80999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,48
1618,19047,1995,17894,1925,1153,491,77860,2608,73428,2627,4432,853,80657,3163,77533,3089,3124,806,79702,2555,76656,2627,3046,923,91852,4062,71491,3578,20361,2445,16086,2450,11414,2077,4672,1079,752638,5758,1141706,2844,361525,5289,22924,2230,11042,1819,11882,1544,23988,2342,22508,2278,1480,617,75947,2711,71877,2883,4070,1237,66640,3020,63939,3020,2701,690,74912,2519,70891,2558,4021,880,86105,4054,64347,3833,21758,2323,11009,1365,8078,1294,2931,662,780181,4783,0400000US49,2284173,2624,1142467,2828,389829,5868,24625,2007,11897,1698,12728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,49
719,2822,666,2264,637,558,274,14247,1327,12869,1348,1378,567,16371,1174,15179,1174,1192,468,17783,1012,16075,1034,1708,457,11842,1914,7580,1579,4262,1197,2626,756,1144,433,1482,642,216119,2351,297684,1147,74642,1809,3708,723,1925,612,1783,496,2463,589,2025,479,438,337,13741,1155,12658,1298,1083,464,15468,1155,14393,1124,1075,412,17391,924,15359,1029,2032,575,15897,1464,11947,1353,3950,855,5974,1058,3466,814,2508,632,223042,1831,0400000US50,583990,1064,286306,1249,70187,2318,4496,912,2151,589,2345,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,50
