B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022MA,B17010A_023EA,B17010A_023MA,B17010A_024MA,B17010A_024EA,B17010A_025MA,B17010A_025EA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028EA,B17010A_028MA,B17010A_029MA,B17010A_029EA,B17010A_030MA,B17010A_030EA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033EA,B17010A_033MA,B17010A_034MA,B17010A_034EA,B17010A_035MA,B17010A_035EA,B17010A_036MA,B17010A_036EA,B17010A_037EA,B17010A_037MA,B17010A_038EA,B17010A_038MA,B17010A_039MA,B17010A_039EA,B17010A_040MA,B17010A_040EA,B17010A_041EA,B17010A_041MA,NAME,B17010A_001EA,B17010A_001MA,B17010A_002EA,B17010A_002MA,B17010A_003MA,B17010A_003EA,B17010A_004MA,B17010A_004EA,B17010A_005MA,B17010A_005EA,B17010A_006EA,B17010A_006MA,B17010A_007EA,B17010A_007MA,B17010A_008EA,B17010A_008MA,B17010A_009MA,B17010A_009EA,B17010A_010MA,B17010A_010EA,B17010A_011MA,B17010A_011EA,B17010A_012MA,B17010A_012EA,B17010A_013MA,B17010A_013EA,B17010A_014EA,B17010A_014MA,B17010A_015EA,B17010A_015MA,B17010A_016MA,B17010A_016EA,B17010A_017MA,B17010A_017EA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021EA,B17010A_021MA,B17010A_022EA,state
6059,333206,5676,150368,4045,32597,2774,30005,2278,87766,2964,182838,5051,55439,2687,18036,1512,10006,1132,1606,616,1025,353,7375,1043,8030,1300,37403,2412,24940,2066,4272,753,3177,767,17491,1684,12463,1357,0400000US31,414541,6025,25896,2115,9382,1031,5695,806,1497,455,2145,575,2053,477,3687,654,16514,1892,2641,859,2064,650,966,545,402,235,696,340,577,381,13873,1789,12954,1761,3633,863,2825,771,6496,1267,919,376,388645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
7303,336995,7636,140864,5433,28719,3190,30776,3280,81369,4101,196131,6558,90664,4511,34021,3386,19250,2713,4632,1333,2046,1066,12572,2051,14771,2108,56643,3523,34736,3066,5587,1402,3267,1231,25882,2472,21907,2395,0400000US32,460962,7918,33303,3716,17586,3125,10546,2382,3249,1556,3982,1627,3315,1120,7040,1892,15717,2112,3036,1091,2228,973,417,315,381,268,1430,892,808,540,12681,1876,11490,1725,3458,1103,2356,875,5676,1220,1191,486,427659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
5481,255240,6017,115097,3969,20405,2204,18637,2011,76055,3939,140143,4412,52911,3590,17319,2189,10271,1833,2195,755,538,280,7538,1382,7048,1193,35592,2773,22472,2205,2906,982,2208,718,17358,1939,13120,1672,0400000US33,324564,5440,16413,2157,5182,950,2509,756,260,218,699,524,1550,483,2673,731,11231,2005,1148,580,997,554,340,414,72,91,585,347,151,156,10083,1971,9475,1924,3228,1353,1930,757,4317,1146,608,352,308151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
13245,1244651,14527,572183,8889,113242,5429,99679,4218,359262,8240,672468,10514,258926,7896,79219,5144,35307,4238,6632,2153,3199,982,25476,3322,43912,3024,179707,5815,87902,4442,11350,1880,8735,1450,67817,4205,91805,4046,0400000US34,1566999,13567,63422,4716,29190,3415,14952,2412,2311,733,4141,1036,8500,1969,14238,2150,34232,3346,5530,1470,3640,1215,385,292,411,248,2844,1192,1890,717,28702,3231,24259,2771,5144,1092,5042,1542,14073,1984,4443,1167,1503577,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
7354,253009,7013,97698,4843,17833,2093,18148,2155,61717,4128,155311,5157,60296,3960,17878,2124,10988,1925,1887,786,1708,811,7393,1580,6890,1351,42418,3385,25341,3188,3089,1182,3228,1045,19024,2806,17077,1618,0400000US35,355047,7011,41742,3179,15016,1589,9572,1380,2483,808,2952,980,4137,929,5444,933,26726,2922,3426,1048,2751,888,419,347,461,401,1871,687,675,415,23300,2957,21361,2758,4356,1236,7185,1530,9820,1633,1939,669,313305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
20754,2389669,20016,1034022,14277,207833,7716,184187,6935,642002,10461,1355647,15404,585450,13645,183393,8179,87007,5614,21273,2998,8905,1583,56829,4371,96386,5372,402057,11667,207394,7939,23483,2369,20105,2685,163806,7031,194663,6600,0400000US36,3194770,20185,219651,8434,98904,6171,53481,4314,10609,1803,16882,2339,25990,2966,45423,4095,120747,5899,19362,2491,13177,1941,2661,748,2572,818,7944,1335,6185,1415,101385,5648,85512,5018,19994,2627,18896,2700,46622,3609,15873,2044,2975119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
14848,1315719,14598,547459,9367,118611,5570,100415,5184,328433,7480,768260,11838,240436,8362,84137,4906,44728,3877,9172,1986,3922,1068,31634,2983,39409,2958,156299,6611,92565,5180,11780,1854,8574,1800,72211,4462,63734,4135,0400000US37,1683456,13867,127301,6607,55023,4072,30515,2972,4331,1132,11106,1727,15078,2131,24508,2668,72278,4998,13171,1732,9383,1569,2917,938,909,376,5557,1206,3788,1128,59107,4519,53756,4100,12600,1968,11485,2315,29671,3201,5351,1118,1556155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
3577,127846,3260,53321,2592,9932,1378,10105,1269,33284,1819,74525,2443,17859,1797,6413,985,3301,670,614,322,105,94,2582,576,3112,683,11446,1397,6786,1065,961,415,614,301,5211,874,4660,936,0400000US38,155623,3559,9918,1578,3884,846,1733,585,535,427,420,265,778,335,2151,537,6034,1192,951,437,747,446,429,389,81,91,237,191,204,157,5083,1152,4577,1031,1443,628,965,491,2169,666,506,421,145705,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
17516,1957480,17380,833266,12171,154323,5571,159327,5751,519616,10523,1124214,13982,415809,9439,129321,5398,71984,4702,14533,2394,6547,1367,50904,3881,57337,4083,286488,7965,165421,6160,25554,2842,17875,2157,121992,5257,121067,5309,0400000US39,2564177,16806,190888,7241,71016,4548,42073,3625,8669,1873,12260,1716,21144,2174,28943,2435,119872,6502,19257,2721,15409,2675,4537,1468,3011,951,7861,2056,3848,940,100615,6055,90039,5565,25655,2931,19676,2514,44708,3558,10576,1658,2373289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
9461,544952,9921,222460,6237,42399,2627,42592,2825,137469,5098,322492,7002,106174,4583,35248,2759,19783,2059,4183,1197,2199,776,13401,1536,15465,1843,70926,3562,43965,3147,5999,1232,4448,1163,33518,2865,26961,2263,0400000US40,726200,9284,75074,4253,31856,2813,18549,2170,3495,902,6693,1254,8361,1227,13307,1778,43218,3295,5853,1272,4649,1232,1441,641,1143,610,2065,679,1204,551,37365,3268,33361,3135,8701,2043,7544,1671,17116,2148,4004,968,651126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
8424,609241,9403,247049,6728,51400,3417,47450,3854,148199,5143,362192,6863,126366,5202,41126,3479,23865,2608,4142,1182,2148,848,17575,2032,17261,2006,85240,4527,53554,4129,6226,1717,5646,1372,41682,3484,31686,2214,0400000US41,809421,8894,73814,3771,28817,2752,16870,2356,3387,1128,7500,1778,5983,1135,11947,1892,44997,3486,7656,1596,5839,1358,1309,689,1236,755,3294,1041,1817,733,37341,3145,33237,2918,8052,1697,6234,1330,18951,2167,4104,1227,735607,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
16954,2156987,18671,879769,12412,162404,4913,149928,5565,567437,9846,1277218,13858,442708,10132,144486,6017,73739,5207,18498,2216,4842,1044,50399,4304,70747,4280,298222,8843,160188,7048,20907,2387,13200,1731,126081,6280,138034,5197,0400000US42,2773009,17540,173314,5092,69693,4516,39704,3768,6237,1317,12088,2177,21379,2512,29989,2573,103621,3927,16087,2128,11624,1677,2772,768,1867,604,6985,1396,4463,1356,87534,3911,76335,3993,19109,2273,17803,2196,39423,3003,11199,1583,2599695,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
4820,168975,5114,69287,3487,13295,1889,12771,1824,43221,2877,99688,4272,38744,3068,10646,1525,3909,952,1547,625,304,241,2058,659,6737,1300,28098,2365,15090,1865,1870,751,964,469,12256,1562,13008,1558,0400000US44,220233,4930,12514,1916,3377,905,1673,709,267,242,403,230,1003,620,1704,611,9137,1638,1464,823,1105,756,658,674,82,99,365,347,359,339,7673,1466,6630,1305,1344,523,2002,800,3284,1063,1043,619,207719,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
8759,601953,8791,243670,6324,48573,3332,46010,3080,149087,4857,358283,7522,107321,4140,33516,3165,20254,2589,4246,1270,1787,776,14221,2101,13262,1823,73805,3111,40409,3022,5180,1196,3926,1054,31303,2466,33396,2630,0400000US45,766893,9138,57619,3411,25788,2467,15270,2173,4265,1595,4246,1112,6759,1267,10518,1543,31831,2927,4494,1182,2783,919,1341,855,285,295,1157,494,1711,704,27337,2703,24580,2520,7121,1425,3800,996,13659,2053,2757,895,709274,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
3618,147037,3853,61229,2734,10375,1348,12342,1478,38512,2144,85808,2904,25331,2126,9031,1288,5651,1144,1572,666,581,356,3498,758,3380,695,16300,1654,10127,1336,1465,475,1135,553,7527,1192,6173,1020,0400000US46,184581,3549,12213,1629,5658,1209,3025,768,202,167,920,362,1903,701,2633,662,6555,1290,1291,604,924,502,548,410,198,206,178,123,367,355,5264,1202,4786,1182,1815,655,891,452,2080,763,478,256,172368,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
14167,977460,14848,405798,8416,79698,4678,75164,4109,250936,6749,571662,10931,198058,7847,64061,4485,35768,3488,8499,2256,2715,964,24554,2961,28293,3082,133997,5933,75062,4482,11938,1946,7606,1558,55518,3639,58935,4179,0400000US47,1310007,12840,134489,7218,63835,4386,36897,3221,8093,1487,11361,1801,17443,1902,26938,2825,70654,4963,11368,1710,7698,1476,2213,941,1593,692,3892,1053,3670,932,59286,4823,51404,4697,12572,2612,9941,2078,28891,3169,7882,1380,1175518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
23129,2985429,23848,1388972,15487,273290,9106,288036,7982,827646,12646,1596457,16955,658498,13907,220122,8748,125547,6356,26559,3315,15883,2113,83105,5432,94575,5624,438376,10773,275000,9179,40588,3819,35758,4013,198654,8176,163376,7025,0400000US48,4139473,24219,495546,13302,246747,9329,178027,7815,35098,3557,68595,5163,74334,5513,68720,5175,248799,10020,38659,3762,29948,3110,7774,1945,7369,1586,14805,2316,8711,1788,210140,9922,188176,9281,37083,4491,54838,4411,96255,6627,21964,2687,3643927,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
7966,430553,9017,231318,6440,53321,3659,68221,4503,109776,4178,199235,6469,71588,5332,21654,2422,13968,2262,2423,882,2918,1466,8627,1528,7686,1182,49934,4251,30442,3549,3748,1029,4371,1084,22323,2773,19492,1879,0400000US49,540912,7660,38771,3016,20843,2112,13793,1492,4809,1068,5460,1167,3524,907,7050,1563,17928,2221,3276,898,2227,789,817,534,404,326,1006,639,1049,524,14652,2032,12992,1983,2802,912,3090,907,7100,1776,1660,546,502141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
3562,113595,3929,44496,2552,7649,1022,6436,843,30411,2112,69099,3206,27669,1866,9944,1437,6850,1374,1315,636,335,265,5200,1113,3094,707,17725,1523,10646,1149,1810,561,888,404,7948,1223,7079,945,0400000US50,152642,3520,11378,1689,4107,945,2423,815,397,302,847,493,1179,500,1684,523,7271,1337,1426,502,1160,500,480,369,37,46,643,320,266,151,5845,1147,5406,1086,1221,629,1298,549,2887,749,439,299,141264,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
13693,1152773,14746,494584,9069,101799,4209,86087,4564,306698,8373,658189,9722,208301,8053,66994,4205,37475,3417,10172,2321,2735,875,24568,2455,29519,2833,141307,6401,83240,4874,14536,2182,6419,1721,62285,4055,58067,4026,0400000US51,1433547,13830,72473,4492,33099,2475,17672,2052,4370,1233,4911,1187,8391,1251,15427,1803,39374,3544,5573,1119,4415,1013,515,364,457,332,3443,902,1158,521,33801,3334,28155,3076,6885,1589,6674,1616,14596,2094,5646,1193,1361074,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
13578,1015178,13216,425450,10100,81697,5011,79381,4407,264372,7207,589728,10467,210508,7187,67053,3710,41156,3182,8271,1568,4290,1308,28595,2639,25897,2493,143455,5660,92879,4603,13009,2358,9787,1626,70083,4030,50576,3342,0400000US53,1317121,12506,91435,4987,37641,3121,20863,2133,4436,1074,7201,1409,9226,1317,16778,2375,53794,3603,7928,1455,6785,1432,918,412,1385,579,4482,1248,1143,528,45866,3076,42458,2896,12626,2388,7716,1393,22116,2266,3408,900,1225686,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
7740,346373,7648,128242,5053,22345,2492,20118,2155,85779,3984,218131,6639,67758,4112,22136,2737,11092,2110,2633,1158,1163,536,7296,1698,11044,1721,45622,3090,20111,2234,2927,781,2036,784,15148,1956,25511,2687,0400000US54,479153,6642,65022,4672,29857,2844,17207,2354,3194,864,3850,948,10163,2085,12650,1764,35165,3334,6716,1409,4895,1374,1512,790,844,548,2539,950,1821,730,28449,3009,23435,2556,4779,1133,4648,1186,14008,2112,5014,1141,414131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
10853,1037243,11088,432684,6960,84339,3883,80289,3772,268056,5463,604559,8703,195686,6191,71151,4036,41812,2846,9354,1390,3790,1066,28668,2304,29339,2797,124535,4800,76796,3906,10757,1612,7917,1394,58122,3515,47739,2997,0400000US55,1297260,10498,64331,3487,22758,1727,12418,1166,2289,556,3900,748,6229,909,10340,1223,41573,3259,7427,1388,6406,1364,2661,1104,766,445,2979,766,1021,332,34146,2876,30711,2900,8609,1480,7266,1187,14836,2081,3435,787,1232929,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
3276,101684,3218,39562,2051,8204,1233,6310,1163,25048,1927,62122,2853,17548,1995,8033,1311,4971,1140,1791,704,288,207,2892,763,3062,895,9515,1422,6430,1204,694,356,624,383,5112,1197,3085,759,0400000US56,126206,3311,6974,1411,3489,929,1880,705,492,430,763,417,625,343,1609,597,3485,969,264,202,264,202,0,258,0,258,264,202,0,258,3221,938,2956,897,998,455,631,540,1327,627,265,215,119232,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
7473,316718,6946,129096,4387,27454,2656,17403,1848,84239,4153,187622,5489,119106,4516,24655,2213,8347,1421,2352,836,908,563,5087,1051,16308,1747,94451,3929,43265,3148,5804,1188,5478,976,31983,2572,51186,3306,0400000US72,727544,8235,291720,7686,154721,5407,73613,4059,13072,1916,13456,1635,47085,3387,81108,4352,136999,4760,18507,2151,8890,1556,2266,688,1884,631,4740,1015,9617,1507,118492,4049,82031,3691,10281,1494,18058,1686,53692,3045,36461,2342,435824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
