GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002MA,B11004_002EA,B11004_003MA,B11004_003EA,B11004_004EA,B11004_004MA,B11004_005EA,B11004_005MA,B11004_006EA,B11004_006MA,B11004_007MA,B11004_007EA,B11004_008MA,B11004_008EA,B11004_009MA,B11004_009EA,B11004_010EA,B11004_010MA,B11004_011MA,B11004_011EA,B11004_012EA,B11004_012MA,B11004_013MA,B11004_013EA,B11004_014MA,B11004_014EA,B11004_015MA,B11004_015EA,B11004_016EA,B11004_016MA,B11004_017EA,B11004_017MA,B11004_018EA,B11004_018MA,B11004_019MA,B11004_019EA,B11004_020MA,B11004_020EA,state
0400000US39,2951170,15802,2136801,14143,820620,11247,183612,6061,170033,6039,466975,9193,1316181,11328,814369,13132,228915,6511,126855,5948,33941,3514,19145,2370,73769,4501,102060,4743,585454,10977,377279,8812,83798,4519,72405,4283,221076,7087,208175,6578,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,964144,7994,705584,7498,292798,6227,66668,3439,69255,3542,156875,4128,412786,5519,258560,6760,74945,3809,44682,2881,11383,1438,6416,1179,26883,2177,30263,2334,183615,5760,125504,5186,24070,2270,25616,2056,75818,3656,58111,2818,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1010975,11385,780758,10275,306931,7376,72667,4078,64758,4035,169506,6241,473827,8541,230217,8761,71983,4717,41121,3422,8867,1897,4834,1122,27420,3045,30862,3096,158234,7147,101061,5997,20292,2862,19678,2883,61091,4397,57173,4057,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3177289,15474,2377086,14521,894243,11429,210647,6349,165129,5631,518467,9818,1482843,11155,800203,13443,229197,8334,122502,6693,33977,3552,21146,2963,67379,4386,106695,5342,571006,11115,346062,9436,71424,4614,65624,5003,209014,6452,224944,6276,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,251811,6010,186052,5142,74943,4046,19264,2563,12985,1992,42694,3055,111109,4069,65759,3887,16342,2108,8114,1577,1863,726,1093,690,5158,1442,8228,1533,49417,3606,29281,3035,4293,1311,5889,1482,19099,2338,20136,2282,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1253260,14383,901707,12863,328339,8035,72703,4555,70138,4899,185498,6688,573368,9644,351553,8321,79210,4826,44635,3872,11293,2088,6528,1554,26814,2952,34575,2669,272343,7061,176320,6771,35006,3107,39096,3445,102218,5284,96023,5114,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,213402,3931,167651,4299,65675,3502,15977,2164,13943,1722,35755,2505,101976,3541,45751,2877,15376,1644,9611,1449,2638,919,1391,486,5582,1101,5765,940,30375,2522,22646,2036,4669,1123,5463,1163,12514,1819,7729,1513,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1707488,14892,1255384,14099,484010,9664,111832,6201,101029,5428,271149,7397,771374,11911,452104,9064,120332,5892,71173,4997,20065,3027,9715,2034,41393,3901,49159,3664,331772,7821,211506,7606,45231,3195,39512,4006,126763,6702,120266,5407,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6696061,22045,4879009,29349,2329931,22765,479277,12197,559282,13811,1291372,19057,2549078,23443,1817052,22504,494678,11759,265790,8701,64994,5790,45836,3963,154960,7021,228888,9134,1322374,19870,886759,18337,172704,7743,192818,9703,521237,14332,435615,9813,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,723175,7738,592208,7561,306107,5699,67146,3698,90595,3963,148366,4646,286101,6790,130967,6090,42979,4146,27004,3372,5586,1466,4819,1352,16599,2595,15975,2238,87988,4369,58164,4097,8546,1666,12359,2075,37259,3470,29824,2275,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,153648,3466,119775,3080,40428,2220,10190,1368,8250,1115,21988,1709,79347,2623,33873,2633,10379,1331,6206,1139,1796,684,559,370,3851,858,4173,923,23494,2230,14124,1464,2255,534,2285,778,9584,1296,9370,1743,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2091237,14871,1588086,16042,670921,12413,156597,5629,143443,5940,370881,8327,917165,10585,503151,11356,136384,5955,72278,4732,19099,2876,10509,1856,42670,3394,64106,4117,366767,8678,228175,7556,45747,3849,43236,3354,139192,5894,138592,5828,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1833793,15146,1418536,13975,595433,9943,154224,6069,135821,5941,305388,7621,823103,9728,415257,9606,135946,6398,76719,4264,19187,2397,13125,2085,44407,3731,59227,4541,279311,8249,175741,6581,35598,3319,35612,3119,104531,5325,103570,4996,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,461542,6702,346532,6742,121725,4990,25491,2181,19912,1818,76322,3940,224807,5271,115010,4490,37110,3080,21463,2187,6811,1529,2271,728,12381,1676,15647,2218,77900,4438,47455,3513,12554,1577,7032,1157,27869,2774,30445,2927,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1478375,11053,1139307,11848,427897,7199,97273,3674,88167,3720,242457,6329,711410,9301,339068,7577,105880,4974,65595,4188,17128,2176,10122,1527,38345,3500,40285,2786,233188,6251,157851,5191,31935,2728,30024,2625,95892,4152,75337,3712,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,145719,3619,116508,4095,47083,3378,8830,1425,12118,1622,26135,2613,69425,2824,29211,2948,9950,1697,5796,1353,1200,443,959,578,3637,1143,4154,1149,19261,2103,13784,2001,2527,959,3541,1124,7716,1340,5477,1028,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,805573,12009,447425,10257,134005,6177,24963,3010,16934,2601,92108,5433,313420,8182,358148,8820,79185,5498,39224,3955,9273,1777,7317,1688,22634,3164,39961,3310,278963,7971,152460,6884,27830,3460,24530,2861,100100,5989,126503,5889,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
