GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001MA,C16001_001EA,C16001_002EA,C16001_002MA,C16001_003MA,C16001_003EA,C16001_004MA,C16001_004EA,C16001_005EA,C16001_005MA,C16001_006MA,C16001_006EA,C16001_007EA,C16001_007MA,C16001_008EA,C16001_008MA,C16001_009MA,C16001_009EA,C16001_010MA,C16001_010EA,C16001_011MA,C16001_011EA,C16001_012EA,C16001_012MA,C16001_013EA,C16001_013MA,state
0400000US42,11983239,2423,10772132,18767,512135,11690,60310,6243,115980,7734,83143,7227,171760,8255,30475,4091,66801,5558,37667,4901,13995,3123,56159,5275,62682,6575,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,995774,935,787329,6400,109008,3172,19229,2869,2320,885,4764,1370,45827,4700,2202,1183,6960,1734,950,722,1332,636,9193,2341,6660,1849,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4334519,2336,4039601,7736,194571,6391,11918,2128,13068,2226,9917,2289,21294,2855,4625,1427,8377,2090,4276,1650,7162,1749,10657,2255,9053,2631,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,758975,1090,702280,4485,15435,1789,1598,718,9064,1645,3307,1538,1421,705,325,279,1975,1112,1166,821,285,284,1759,769,20360,3074,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5950484,2840,5568239,10625,224450,7671,14244,2592,16798,2587,10198,2242,28282,4289,8309,2796,12870,2450,9140,2533,5239,1657,22157,3332,30558,5140,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,23327776,4319,15208179,34765,6899506,32678,67761,6511,76941,5857,47340,6302,281870,16213,60481,6456,130386,8976,197008,12071,64190,6131,147669,9604,146445,11149,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2512866,1228,2155172,10444,239545,7657,7296,1773,11540,1939,10161,2708,20153,3192,4448,1682,11699,2539,5775,2554,3011,932,26745,3461,17321,2589,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,593692,756,560687,2885,6845,1377,10774,1647,2004,658,2816,1008,4272,1048,178,166,1069,442,1729,938,512,457,494,290,2312,1438,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,7517185,3129,6404486,18422,504438,9038,36831,4807,33674,3761,30245,4417,153073,7983,56493,7300,49687,6514,47233,5860,41258,5542,62319,7313,97448,9051,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6306287,2020,5152038,18686,512354,11175,19190,2771,35327,2944,89357,8921,89288,8493,52131,6613,74823,5874,63032,7639,55861,5086,105440,7768,57446,5376,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1752096,1822,1713135,4168,18006,2304,2275,771,2662,847,1246,518,3353,1039,534,417,1852,780,1301,880,1276,683,2046,953,4410,1444,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5335995,2117,4890474,10556,237110,7575,11661,1955,45693,3983,22812,3298,31192,3401,4936,1331,13884,2810,1838,964,4657,1232,56790,4089,14948,2513,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,523440,1298,490132,3288,24174,2596,1285,564,1574,546,968,759,1791,823,102,133,485,450,100,93,1194,747,237,263,1398,604,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3498886,-555555555,143968,7313,3349905,7488,885,475,390,299,78,127,1281,719,159,280,1426,788,117,195,0,285,0,285,677,582,Puerto Rico,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
