GEO_ID,C17023_001E,C17023_001M,C17023_002E,C17023_002M,C17023_003E,C17023_003M,C17023_004E,C17023_004M,C17023_005E,C17023_005M,C17023_006E,C17023_006M,C17023_007E,C17023_007M,C17023_008E,C17023_008M,C17023_009E,C17023_009M,C17023_010E,C17023_010M,C17023_011E,C17023_011M,C17023_012E,C17023_012M,C17023_013E,C17023_013M,C17023_014E,C17023_014M,C17023_015E,C17023_015M,C17023_016E,C17023_016M,C17023_017E,C17023_017M,C17023_018E,C17023_018M,C17023_019E,C17023_019M,C17023_020E,C17023_020M,C17023_021E,C17023_021M,C17023_022E,C17023_022M,C17023_023E,C17023_023M,NAME,C17023_001EA,C17023_001MA,C17023_002MA,C17023_002EA,C17023_003MA,C17023_003EA,C17023_004MA,C17023_004EA,C17023_005EA,C17023_005MA,C17023_006EA,C17023_006MA,C17023_007EA,C17023_007MA,C17023_008MA,C17023_008EA,C17023_009EA,C17023_009MA,C17023_010EA,C17023_010MA,C17023_011EA,C17023_011MA,C17023_012EA,C17023_012MA,C17023_013MA,C17023_013EA,C17023_014EA,C17023_014MA,C17023_015MA,C17023_015EA,C17023_016EA,C17023_016MA,C17023_017EA,C17023_017MA,C17023_018EA,C17023_018MA,C17023_019MA,C17023_019EA,C17023_020EA,C17023_020MA,C17023_021EA,C17023_021MA,C17023_022EA,C17023_022MA,C17023_023EA,C17023_023MA,state
0400000US40,954622,8374,121095,4804,44971,3264,17544,1970,27427,2681,76124,4041,12493,1860,4061,920,8432,1475,63631,4053,10160,1329,53471,3745,833527,7790,664285,8535,416159,6972,248126,5730,169242,6007,50362,3601,26173,2478,24189,2564,118880,4749,62106,3002,56774,3792,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,963362,9735,106178,5263,43339,3584,17511,2399,25828,2508,62839,4260,10830,1951,3381,907,7449,1872,52009,3873,8047,1359,43962,3543,857184,9455,689756,9679,427978,7993,261778,7659,167428,6242,55142,3172,28893,2519,26249,2176,112286,5471,58052,3352,54234,5163,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3197710,17008,298448,9031,91066,4438,40601,3313,50465,2614,207382,7342,32250,2950,10098,1600,22152,2372,175132,6692,38663,2870,136469,6510,2899262,16763,2290028,15292,1445737,13809,844291,10079,609234,11097,182832,6644,105317,4673,77515,4722,426402,8857,231774,7481,194628,6299,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,246028,5431,22578,2406,6499,1530,2287,831,4212,1319,16079,1779,2370,767,1058,563,1312,536,13709,1743,2547,868,11162,1729,223450,5671,167349,5095,100509,4032,66840,3398,56101,3817,15155,2029,9540,1698,5615,1078,40946,3042,20449,2119,20497,2587,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1180687,11186,163071,6398,49517,3536,24361,2521,25156,3010,113554,6092,14750,2479,5684,1204,9066,2033,98804,5185,26418,2652,72386,4504,1017616,11559,777870,10562,499702,7910,278168,8283,239746,6946,62312,3991,38698,3381,23614,3055,177434,6033,96929,5138,80505,4461,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,204029,4559,18785,1969,6591,1164,3028,704,3563,831,12194,1521,1648,514,338,245,1310,481,10546,1480,2654,739,7892,1415,185244,4587,154943,4315,95811,3214,59132,2665,30301,2624,10878,1765,5048,959,5830,1369,19423,1859,7946,1360,11477,1537,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1644896,14706,219964,7337,81438,4309,34626,2914,46812,3190,138526,6083,21967,2899,7461,1490,14506,2216,116559,5263,28916,2426,87643,5246,1424932,12746,1113968,11556,717253,9558,396715,8248,310964,8369,84649,4228,49166,3023,35483,3202,226315,7206,123123,5003,103192,4901,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6091590,24172,843488,14263,347202,8571,110262,5105,236940,7375,496286,13306,74314,5458,27454,3521,46860,4312,421972,11096,86671,4818,335301,10750,5248102,25201,4039794,25324,2254836,19346,1784958,19402,1208308,15890,362413,9241,201884,7461,160529,6874,845895,13515,419709,9924,426186,10988,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,665964,7680,64686,3506,33971,2355,8985,1383,24986,2249,30715,2759,6627,1595,2074,799,4553,1290,24088,2318,4596,1013,19492,2217,601278,7720,509241,6921,253310,5399,255931,5787,92037,4291,30631,2856,16263,2236,14368,1858,61406,3584,32076,2579,29330,2635,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,159846,3532,13372,1534,5129,1072,2717,762,2412,727,8243,1197,1040,432,476,307,564,290,7203,1238,950,506,6253,1087,146474,3232,120549,3036,77898,2447,42651,2313,25925,1962,9847,1447,4470,945,5377,1022,16078,1650,7659,1302,8419,1200,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
