GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001MA,C18104_001EA,C18104_002EA,C18104_002MA,C18104_003EA,C18104_003MA,C18104_004EA,C18104_004MA,C18104_005MA,C18104_005EA,C18104_006MA,C18104_006EA,C18104_007EA,C18104_007MA,C18104_008EA,C18104_008MA,C18104_009EA,C18104_009MA,C18104_010MA,C18104_010EA,C18104_011MA,C18104_011EA,C18104_012MA,C18104_012EA,C18104_013EA,C18104_013MA,C18104_014EA,C18104_014MA,C18104_015EA,C18104_015MA,C18104_016MA,C18104_016EA,C18104_017MA,C18104_017EA,C18104_018EA,C18104_018MA,C18104_019EA,C18104_019MA,C18104_020EA,C18104_020MA,C18104_021EA,C18104_021MA,state
0400000US24,5518564,2416,2645216,3330,502540,2536,27697,3061,474843,3744,1796563,2440,66313,4074,1730250,4843,346113,1566,23638,2293,322475,2743,2873348,3042,479944,2234,12483,2013,467461,2563,1940871,2385,62987,4408,1877884,4763,452533,1907,41323,2924,411210,3444,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6302381,1681,3036876,2700,519971,1383,28080,2894,491891,3043,2094170,2328,102039,5000,1992131,5468,422735,1747,32633,3044,390102,3100,3265505,2661,501460,1660,13199,2070,488261,2689,2209751,2094,91892,5580,2117859,5870,554294,1867,50969,2974,503325,3425,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9229728,2038,4495865,3010,842198,2442,57409,3357,784789,4281,2994165,2607,175801,5931,2818364,6701,659502,1732,54425,3059,605077,3531,4733863,2979,808849,1819,29337,2754,779512,3359,3093101,2331,173684,6873,2919417,7491,831913,1901,76194,3287,755719,3580,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5050808,2090,2500735,3409,478140,2539,26032,2473,452108,3260,1687188,2285,72258,3713,1614930,4341,335407,1721,21879,1901,313528,2704,2550073,3194,455248,1884,14056,1788,441192,2215,1682824,2184,65618,4188,1617206,4722,412001,1848,31579,2166,380422,2410,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2735081,2595,1303351,3607,273397,3063,15056,2196,258341,3438,851164,2849,53550,3941,797614,5268,178790,1599,22148,2494,156642,2943,1431730,3309,264398,2493,6352,1292,258046,2702,930980,2761,56916,3929,874064,4692,236352,1580,32777,2804,203575,3270,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5578431,3094,2704929,4850,516521,3064,32648,3624,483873,4843,1792812,3836,106026,5826,1686786,6843,395596,1886,30970,2277,364626,2677,2873502,3867,498865,2738,17347,2029,481518,3005,1876627,3576,107435,6515,1769192,6878,498010,2401,43917,2611,454093,3033,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,948341,1201,471950,2112,83942,1251,2618,689,81324,1364,308665,1943,13306,1948,295359,2671,79343,691,5423,1127,73920,1310,476391,1785,80334,1377,2575,768,77759,1486,309886,1372,15141,2069,294745,2210,86171,745,6158,1257,80013,1431,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1723316,1634,851432,2480,172109,1728,9115,1595,162994,2198,563910,2002,21241,2019,542669,2858,115413,852,8260,1051,107153,1473,871884,2211,164113,1437,4297,875,159816,1621,563893,1492,21557,2154,542336,2708,143878,991,10684,1353,133194,1406,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2629797,1611,1310102,2377,249339,1518,11078,1797,238261,1959,873435,2052,36680,3036,836755,3769,187328,868,15926,1664,171402,1853,1319695,2043,236560,1313,4977,1077,231583,1620,874448,1707,37150,3165,837298,3414,208687,1036,20011,2086,188676,2410,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1246839,873,612495,1781,103136,1153,6549,1511,96587,1750,417858,1648,18562,2025,399296,2440,91501,773,6116,925,85385,1175,634344,1654,98615,921,3337,1173,95278,1498,425686,1339,16773,1887,408913,2247,110043,890,7651,1350,102392,1596,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8298801,1762,4020004,3370,752735,2219,35768,2869,716967,3714,2722701,2401,87747,5080,2634954,5245,544568,1636,38578,2470,505990,3048,4278797,2523,722459,1650,18443,2337,704016,2503,2828797,1773,77816,4029,2750981,4488,727541,1580,65229,3858,662312,4050,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1914953,2098,935801,3338,184355,2564,7131,1380,177224,3221,609403,2600,37706,3343,571697,4815,142043,1125,16222,1683,125821,2005,979152,2662,178909,2083,3267,989,175642,2203,629123,1945,34319,3253,594804,4149,171120,1200,20627,2431,150493,2704,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,18317256,3106,8814331,4263,1547925,2626,74830,4042,1473095,4858,6072759,4101,225839,7012,5846920,7680,1193647,2645,93876,4573,1099771,5117,9502925,3783,1486861,3281,36659,3264,1450202,4413,6412911,3688,215292,7582,6197619,8927,1603153,2622,157816,5613,1445337,6188,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9150606,4651,4386478,6819,860212,5100,49669,3408,810543,5965,2906020,5759,150893,5861,2755127,7947,620246,2087,50233,3294,570013,3884,4764128,5066,824911,4526,25022,2873,799889,4696,3139188,3671,145440,6030,2993748,7569,800029,2574,81611,5048,718418,5719,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,674474,1325,341704,2308,58986,1317,2711,941,56275,1437,237245,1849,7098,1152,230147,2199,45473,650,3122,743,42351,958,332770,1845,58228,1300,978,487,57250,1302,221123,1320,7081,1225,214042,1580,53419,449,3434,1174,49985,1247,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
