GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002MA,B27022_002EA,B27022_003EA,B27022_003MA,B27022_004EA,B27022_004MA,B27022_005EA,B27022_005MA,B27022_006EA,B27022_006MA,B27022_007MA,B27022_007EA,B27022_008MA,B27022_008EA,B27022_009EA,B27022_009MA,B27022_010EA,B27022_010MA,B27022_011EA,B27022_011MA,B27022_012MA,B27022_012EA,B27022_013MA,B27022_013EA,B27022_014EA,B27022_014MA,B27022_015EA,B27022_015MA,state
0400000US44,116357,3035,56377,1861,27623,2479,26231,2192,1392,796,28754,2594,23535,2762,5219,1441,59980,2128,32118,2307,30880,2200,1238,605,27862,2553,25660,2478,2202,1070,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,473946,7372,234597,5317,83990,4045,75350,3662,8640,1959,150607,5342,108102,5003,42505,3442,239349,5005,101750,4801,90412,4151,11338,2355,137599,5382,109981,4849,27618,3005,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,82681,2589,40683,1725,14404,1528,13140,1441,1264,481,26279,1830,19103,1791,7176,1353,41998,1969,16934,1541,15882,1585,1052,470,25064,1957,18997,1873,6067,1199,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,619809,7785,308590,5222,107895,4336,94835,4588,13060,2334,200695,5855,145817,6244,54878,4623,311219,5769,125392,6291,110655,5154,14737,2893,185827,6977,152087,6205,33740,3364,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2701311,17033,1354351,11908,493263,11168,393222,10662,100041,5270,861088,11755,538261,12255,322827,10169,1346960,11663,551025,13397,430827,12344,120198,6569,795935,11905,540437,11065,255498,11329,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,334437,4884,166800,2825,68910,4743,62221,4305,6689,1908,97890,4100,77856,3905,20034,2295,167637,3557,67181,3973,61434,3865,5747,1237,100456,3876,82277,3776,18179,2561,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,63168,1531,32541,1291,16284,1551,15361,1466,923,379,16257,1518,14613,1540,1644,668,30627,869,16217,1439,15503,1443,714,345,14410,1385,13484,1385,926,581,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,780633,8118,387802,6043,165841,5668,148558,5295,17283,2422,221961,6575,170526,6702,51435,4483,392831,6042,180486,7000,165700,6732,14786,2071,212345,6242,174044,6066,38301,3822,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,659473,7233,339098,5465,113887,4937,104204,4497,9683,2068,225211,6204,186179,6627,39032,3135,320375,4431,126168,5367,116325,5088,9843,1753,194207,6100,170909,6335,23298,2763,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,165566,3870,84682,2930,27097,3031,25153,2927,1944,956,57585,3153,48895,2936,8690,1467,80884,2785,34330,2925,32493,2796,1837,733,46554,2773,41278,2562,5276,1225,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,545115,5638,274144,3709,105989,4245,100560,4200,5429,1349,168155,4614,139643,4421,28512,2088,270971,3714,128669,4127,122024,3948,6645,1349,142302,4140,125650,4052,16652,2119,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,56234,2208,29236,1866,9986,1314,9011,1175,975,517,19250,1803,12866,1592,6384,1488,26998,1770,12237,1784,10728,1689,1509,640,14761,1675,11968,1453,2793,1112,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,345184,5364,174230,3585,76413,4206,72497,4097,3916,1298,97817,3554,83283,4033,14534,2061,170954,3560,89562,4083,85751,3862,3811,1176,81392,4701,75193,4421,6199,1506,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
